msg_partner_001={0x0102,0x0001}戳了戳你！[0x000A]要戳回去吗？
msg_partner_404={0x0102,0x0001}好像[0x000A]对这岩石很感兴趣！
msg_partner_405={0x0102,0x0001}很震惊岩石[0x000A]会这么冰冷！
msg_partner_406={0x0102,0x0001}从岩石缝里[0x000A]拿出了什么！
msg_partner_407={0x0102,0x0001}开心地[0x000A]眺望着水面！
msg_partner_408={0x0102,0x0001}一直看着[0x000A]栅栏的对面……
msg_partner_409={0x0102,0x0001}有些吃惊地[0x000A]看着大岩蛇！
msg_partner_410={0x0102,0x0001}注视着[0x000A]窗的对面。
msg_partner_411={0x0102,0x0001}[0x000A]看上去很开心！
msg_partner_412={0x0102,0x0001}[0x000A]正在看着远方。
msg_partner_413={0x0102,0x0001}对大大的[0x000A]电视机很感兴趣！
msg_partner_414={0x0102,0x0001}好像对[0x000A]你的妈妈很感兴趣！
msg_partner_415=它在看着地面上[0x000A]不断移动的影子。
msg_partner_416={0x0102,0x0001}好像[0x000A]正在寻找着什么。
msg_partner_417={0x0102,0x0001}[0x000A]精神十足地回应了你！
msg_partner_418={0x0102,0x0001}[0x000A]一脸不可思议。
msg_partner_419=由于感受到其他宝可梦的气息，[0x000A]{0x0102,0x0001}看起来很不安！
msg_partner_420={0x0102,0x0001}在四下张望。
msg_partner_421={0x0102,0x0001}开心地跟着你！
msg_partner_422={0x0102,0x0001}看起来[0x000A]心情很不错！
msg_partner_423={0x0102,0x0001}好像对[0x000A]黑板上的内容很感兴趣。
msg_partner_424={0x0102,0x0001}看起来[0x000A]干劲十足！
msg_partner_425={0x0102,0x0001}精神十足地[0x000A]打了声招呼！
msg_partner_426={0x0102,0x0001}好像[0x000A]有一点点害羞。
msg_partner_427={0x0102,0x0001}有点激动。
msg_partner_428={0x0102,0x0001}迷迷糊糊的。
msg_partner_429={0x0102,0x0001}正在看着[0x000A]云朵倒映在地上的影子。
msg_partner_430={0x0102,0x0001}看起来[0x000A]很是兴奋！
msg_partner_431=它很高兴地看着[0x000A]飘落的叶子！
msg_partner_432=哎呀？{0x0102,0x0001}[0x000A]好像捡到了什么！
msg_partner_433={0x0102,0x0001}好像[0x000A]松了一口气。
msg_partner_434=它好像很开心地[0x000A]走在石阶上！
msg_partner_435={0x0102,0x0001}好像对[0x000A]尼多朗很感兴趣。
msg_partner_436={0x0102,0x0001}[0x000A]好像很紧张！
msg_partner_437={0x0102,0x0001}[0x000A]正在发呆……{0xBE00}[0x000A]要叫叫它吗？
msg_partner_438=它好像被吓了一跳！
msg_partner_439={0x0102,0x0001}好像很喜欢[0x000A]凹凸不平的地面。
msg_partner_440={0x0102,0x0001}突然[0x000A]跳起了舞！
msg_partner_441=危险！[0x000A]{0x0102,0x0001}要跌倒了！
msg_partner_442={0x0102,0x0001}看起来[0x000A]有一点点担心……
msg_partner_443=它看上去有点慌张！
msg_partner_444={0x0102,0x0001}好像对[0x000A]跳台很感兴趣。
msg_partner_445=哎呀！[0x000A]{0x0102,0x0001}好像{0xBE00}[0x000A]滑了一跤！
msg_partner_446=它好像有一点点放心了！
msg_partner_447=啊！[0x000A]{0x0102,0x0001}要跌倒了……
msg_partner_448=黑暗的地方好像能让[0x000A]{0x0102,0x0001}感到平静。
msg_partner_449={0x0102,0x0001}非常非常开心！
msg_partner_450={0x0102,0x0001}一直在看着[0x000A]{0x0102,0x0002}！
msg_partner_451={0x0102,0x0001}对{0x0102,0x0002}的[0x000A]袈裟斩非常感兴趣！
msg_partner_452={0x0102,0x0001}被{0x0102,0x0002}[0x000A]表现出的力气吓了一跳！
msg_partner_453=周围突然亮了起来，[0x000A]它吓了一跳！
msg_partner_454=对于进化，[0x000A]{0x0102,0x0001}吓了一跳！
msg_partner_455={0x0102,0x0001}一直看着[0x000A]{0x0102,0x0002}的脑袋……
msg_partner_456={0x0102,0x0001}正在警惕四周！
msg_partner_457={0x0102,0x0001}找到了掉在[0x000A]花坛里的什么东西！
msg_partner_458={0x0102,0x0001}从草丛里[0x000A]找到了什么！
msg_partner_459={0x0102,0x0001}看着长长的椅子！[0x000A]它是想和你休息一下吗？
msg_partner_460=哎呀？[0x000A]{0x0102,0x0001}好像在长椅下{0xBE00}[0x000A]找到了什么！
msg_partner_461=它好像没有找到任何东西。
msg_partner_462=哇！[0x000A]它好像被上面滴下来的{0xBE00}[0x000A]水珠吓了一跳！
msg_partner_463={0x0102,0x0001}看着喷泉[0x000A]手舞足蹈！
msg_partner_464={0x0102,0x0001}痴痴地看着[0x000A]顽皮雷弹那圆圆的身体……
msg_partner_465=哇！它被水花溅了一身！[0x000A]{0x0102,0x0001}看起来很开心！
msg_partner_466={0x0102,0x0001}好像对[0x000A]喷泉很感兴趣……
msg_partner_467=哇！{0x0102,0x0001}把掉落在[0x000A]栅栏对面的什么东西{0xBE00}[0x000A]拉到了自己跟前！
msg_partner_468={0x0102,0x0001}把落入水中的[0x000A]什么东西捞了起来！
msg_partner_469={0x0102,0x0001}开心地[0x000A]挖着地面！
msg_partner_470={0x0102,0x0001}安安静静的。
msg_partner_471={0x0102,0x0001}对游戏[0x000A]非常感兴趣！
msg_partner_472={0x0102,0x0001}正在玩着铁矿砂！
msg_partner_473=哎呀？{0x0102,0x0001}[0x000A]好像从沙子中{0xBE00}[0x000A]找到了什么！
msg_partner_474=啊！{0x0102,0x0001}[0x000A]差点绊了一跤！
msg_partner_475={0x0102,0x0001}被神奇的[0x000A]景色吸引住了。
msg_partner_476=你感觉到了[0x000A]{0x0102,0x0001}火热的视线……
msg_partner_477={0x0102,0x0001}看起来[0x000A]稍微恢复了一点精神！
msg_partner_478={0x0102,0x0001}无精打采的……
msg_partner_479=你从{0x0102,0x0001}那里[0x000A]感觉到了阵阵热气！
msg_partner_480={0x0102,0x0001}活力十足！
msg_partner_481={0x0102,0x0001}笑嘻嘻的！[0x000A]看起来它很平静。
msg_partner_482={0x0102,0x0001}看起来对[0x000A]{0x0102,0x0002}很感兴趣！
msg_partner_483={0x0102,0x0001}一直在看着[0x000A]你的肩膀……
msg_partner_484={0x0102,0x0001}一直在看着[0x000A]你的脑袋……
msg_partner_485={0x0102,0x0001}一直在看着天空。
msg_partner_486={0x0102,0x0001}看起来对[0x000A]常青森林很感兴趣！
msg_partner_487={0x0102,0x0001}正在优雅地[0x000A]拍打着翅膀……{0xBE00}[0x000A]微风习习的感觉好舒服！
msg_partner_488={0x0102,0x0001}对玩偶非常感兴趣！
msg_partner_489={0x0102,0x0001}开心地笑着！
msg_partner_490={0x0102,0x0001}开心地[0x000A]挥动着翅膀。
msg_partner_491={0x0102,0x0001}的身体非常热！[0x000A]看起来它很兴奋。
msg_partner_492={0x0102,0x0001}[0x000A]一直在注视着你……{0xBE00}[0x000A]难道它正在窥视你的内心？
msg_partner_493={0x0102,0x0001}惬意地漂浮着！
msg_partner_494={0x0102,0x0001}正在发呆。
msg_partner_495={0x0102,0x0001}开心地[0x000A]把茎扔了出去！
msg_partner_496={0x0102,0x0001}的镰刀[0x000A]发出了亮光！
msg_partner_497={0x0102,0x0001}平稳地呼吸着……[0x000A]温暖的大肚皮好舒服！
msg_partner_498=从{0x0102,0x0001}那里传来了[0x000A]一阵阵冰冷的空气。
msg_partner_499=哇！{0x0102,0x0001}的四周[0x000A]噼里啪啦响个不停……
msg_partner_500=从{0x0102,0x0001}那里传来了[0x000A]一股股滚滚的热浪！
msg_partner_501={0x0102,0x0001}正在发出[0x000A]奇怪的嗡嗡声……{0xBE00}[0x000A]它是在和游戏互动吗？
msg_partner_502={0x0102,0x0001}对最新的[0x000A]游戏机非常感兴趣！
msg_partner_503={0x0102,0x0001}状态绝佳！[0x000A]胡须油光水滑的。
msg_partner_504={0x0102,0x0001}正在注视着[0x000A]{0x0102,0x0002}的尾巴。
msg_partner_505={0x0102,0x0001}看着{0x0102,0x0002}的[0x000A]眼睛点了点头。
msg_partner_506={0x0102,0x0001}冲着{0x0102,0x0002}[0x000A]叫了起来！{0xBE00}[0x000A]是在对它说着什么吗？
msg_partner_507={0x0102,0x0001}击碎岩壁[0x000A]取出了什么东西！
msg_partner_508={0x0102,0x0001}一直[0x000A]注视着岩壁。
msg_partner_509={0x0102,0x0001}从沙子中[0x000A]挖出了什么！
msg_partner_510={0x0102,0x0001}踩着[0x000A]脚边的沙子。
msg_partner_511={0x0102,0x0001}一直看着[0x000A]呆呆兽的尾巴……
msg_partner_512={0x0102,0x0001}正在[0x000A]闻着味道！
msg_partner_513={0x0102,0x0001}正在[0x000A]练习着哑剧！
msg_partner_514={0x0102,0x0001}正在看着[0x000A]摇曳的火焰。
msg_partner_515=它笑嘻嘻地看着[0x000A]地鼠的物品。
msg_partner_516={0x0102,0x0001}开心地[0x000A]看着海报！
msg_partner_517={0x0102,0x0001}正在晒太阳……[0x000A]看起来好不惬意。
msg_partner_518={0x0102,0x0001}好像受到了[0x000A]月之石的吸引。
msg_partner_519={0x0102,0x0001}看起来[0x000A]满脸好奇。
msg_partner_520={0x0102,0x0001}好像在说话。
msg_partner_521=哎呀？{0x0102,0x0001}[0x000A]手里拿着什么……
msg_partner_522={0x0102,0x0001}安静地看着[0x000A]这些大型器械。
msg_partner_523={0x0102,0x0001}一直注视着[0x000A]这些大型器械。
msg_partner_524={0x0102,0x0001}[0x000A]正在闻垃圾箱的味道！{0xBE00}[0x000A]……看起来还很高兴。
msg_partner_525={0x0102,0x0001}开心地眺望着[0x000A]摇摆的花朵！
msg_partner_526={0x0102,0x0001}正在品尝[0x000A]金属的味道……
msg_partner_527=这味道感觉会上瘾！
msg_partner_528={0x0102,0x0001}皱了皱眉！
msg_partner_529={0x0102,0x0001}一脸[0x000A]复杂的表情。
msg_partner_530={0x0102,0x0001}高兴得[0x000A]跳了起来！
msg_partner_531=……它好像感觉有点麻麻的。
msg_partner_532=对着劈啪作响的电流，[0x000A]{0x0102,0x0001}非常兴奋！
msg_partner_533={0x0102,0x0001}正在[0x000A]练习哑剧！{0xBE00}[0x000A]……看起来非常投入。
msg_partner_534={0x0102,0x0001}好像[0x000A]很喜欢火焰的热浪。
msg_partner_535={0x0102,0x0001}正以一种火热的[0x000A]眼神注视着桌子上面。
msg_partner_536={0x0102,0x0001}一脸得意的样子！
msg_partner_537=嗅嗅……[0x000A]{0x0102,0x0001}有点慌张。
msg_partner_538={0x0102,0x0001}正在[0x000A]注视着月之石。
msg_partner_539={0x0102,0x0001}一直[0x000A]注视着化石。
msg_partner_540={0x0102,0x0001}[0x000A]突然笑了起来！
msg_partner_541={0x0102,0x0001}[0x000A]正在闻垃圾箱的味道！{0xBE00}[0x000A]……看起来还笑嘻嘻的。
msg_partner_542={0x0102,0x0001}开心地[0x000A]看着劈啪作响的电火花。
msg_partner_543={0x0102,0x0001}正在闻着[0x000A]长椅上的味道。
msg_partner_544={0x0102,0x0001}好像很喜欢[0x000A]冰冷的岩石！
msg_partner_545=哎呀？{0x0102,0x0001}[0x000A]好像从冰冷岩石的边上{0xBE00}[0x000A]发现了什么！
msg_partner_546=阳光暖洋洋的，[0x000A]{0x0102,0x0001}一脸幸福的样子。
msg_partner_547={0x0102,0x0001}正在看着[0x000A]闪闪发光的地面。
msg_partner_548=哎呀？{0x0102,0x0001}从地下[0x000A]挖出了什么。
msg_partner_549=哎呀？{0x0102,0x0001}[0x000A]好像发现树梢上{0xBE00}[0x000A]有着什么东西！
msg_partner_550={0x0102,0x0001}在发呆。
msg_partner_551={0x0102,0x0001}正在观察你。
msg_partner_552={0x0102,0x0001}很高兴能和[0x000A]你一起玩耍！
msg_partner_553={0x0102,0x0001}的眼神[0x000A]变得坚定了起来！
msg_partner_554={0x0102,0x0001}挺了挺腰板！
msg_partner_555={0x0102,0x0001}正在看着[0x000A]{0x0102,0x0002}的嘴巴！
msg_partner_556={0x0102,0x0001}和{0x0102,0x0002}[0x000A]对视后笑了起来！
msg_partner_557={0x0102,0x0001}向着{0x0102,0x0002}[0x000A]呼唤了起来！
msg_partner_558={0x0102,0x0001}看起来想摸摸[0x000A]{0x0102,0x0002}那摇晃的尾巴。
msg_partner_559={0x0102,0x0001}若无其事地[0x000A]背着{0x0100,0x0000}！
msg_partner_560={0x0102,0x0001}一脸惬意地[0x000A]感受着风的吹拂。
msg_partner_561=哇！水溅了起来！[0x000A]{0x0102,0x0001}看起来很开心！
msg_partner_562={0x0102,0x0001}看起来充满活力！[0x000A]毛发摸起来非常舒服。
msg_partner_563={0x0102,0x0001}摸起来[0x000A]非常松软！
msg_partner_564={0x0102,0x0001}正在轻飘飘地[0x000A]背着你……
msg_partner_565={0x0102,0x0001}的后背[0x000A]暖暖的……
msg_partner_566={0x0102,0x0001}正在用力[0x000A]挥动翅膀！
msg_partner_567={0x0102,0x0001}小心翼翼地[0x000A]抱着{0x0102,0x0002}。
msg_partner_568={0x0102,0x0001}的肌肉[0x000A]在跳动……
msg_partner_569={0x0102,0x0001}的鬃毛[0x000A]比平时还要热！
msg_partner_570=哇！３个脑袋在对话……？
msg_partner_571={0x0102,0x0001}的手[0x000A]缓缓地动着。
msg_partner_572={0x0102,0x0001}的表情很严肃！[0x000A]看起来很可靠。
msg_partner_573={0x0102,0x0001}保持着一个[0x000A]绝佳的平衡！
msg_partner_574=你感受到了[0x000A]{0x0102,0x0001}的心跳！
msg_partner_575={0x0102,0x0001}正在[0x000A]注视着水面。
msg_partner_576={0x0102,0x0001}眺望着[0x000A]闪闪发光的海面！
msg_partner_577={0x0102,0x0001}目不转睛地[0x000A]盯着你……{0xBE00}[0x000A]是想要向你传达些什么吗？
msg_partner_578={0x0102,0x0001}不断地[0x000A]触碰着地面。
msg_partner_579={0x0102,0x0001}很高兴[0x000A]能站在砖块上面！
msg_partner_580={0x0102,0x0001}好像很喜欢[0x000A]土壤的味道！
msg_partner_581={0x0102,0x0001}对小烈[0x000A]非常感兴趣！
msg_partner_582=它对听到的[0x000A]喷泉声很感兴趣。
msg_partner_583=周围有很多宝可梦，[0x000A]{0x0102,0x0001}看起来也很高兴！
msg_partner_584={0x0102,0x0001}看起来很喜欢[0x000A]热热闹闹的房间。
msg_partner_585={0x0102,0x0001}有点紧张。
msg_partner_586={0x0102,0x0001}看起来[0x000A]想要乘坐电梯！
