ZKN_TYPE_000=Pokémon ?????
ZKN_TYPE_613=Pokémon Freddo
ZKN_TYPE_614=Pokémon Glaciale
ZKN_TYPE_615=Pokémon Cristallo
ZKN_TYPE_616=Pokémon Lumachina
ZKN_TYPE_617=Pokémon Sgusciato
ZKN_TYPE_618=Pokémon Trappola
ZKN_TYPE_619=Pokémon Marziale
ZKN_TYPE_620=Pokémon Marziale
ZKN_TYPE_621=Pokémon Grotta
ZKN_TYPE_622=Pokémon Statuanimata
ZKN_TYPE_623=Pokémon Statuanimata
ZKN_TYPE_624=Pokémon Lamaffilata
ZKN_TYPE_625=Pokémon Fildilama
ZKN_TYPE_626=Pokémon Sfondatoro
ZKN_TYPE_627=Pokémon Aquilotto
ZKN_TYPE_628=Pokémon Baldanza
ZKN_TYPE_629=Pokémon Pannolino
ZKN_TYPE_630=Pokémon Ossaquila
ZKN_TYPE_631=Pokémon Formichiere
ZKN_TYPE_632=Pokémon Ferformica
ZKN_TYPE_633=Pokémon Impeto
ZKN_TYPE_634=Pokémon Irruenza
ZKN_TYPE_635=Pokémon Brutale
ZKN_TYPE_636=Pokémon Torcia
ZKN_TYPE_637=Pokémon Sole
ZKN_TYPE_638=Pokémon Metalcuore
ZKN_TYPE_639=Pokémon Caverna
ZKN_TYPE_640=Pokémon Prateria
ZKN_TYPE_641=Pokémon Turbinio
ZKN_TYPE_642=Pokémon Fulminante
ZKN_TYPE_643=Pokémon Bianco Verità
ZKN_TYPE_644=Pokémon Nero Ideale
ZKN_TYPE_645=Pokémon Fertilità
ZKN_TYPE_646=Pokémon Confine
ZKN_TYPE_647=Pokémon Puledro
ZKN_TYPE_648=Pokémon Melodia
ZKN_TYPE_649=Pokémon Paleozoico
ZKN_TYPE_650=Pokémon Castanriccio
ZKN_TYPE_651=Pokémon Spincorazza
ZKN_TYPE_652=Pokémon Spincorazza
ZKN_TYPE_653=Pokémon Volpe
ZKN_TYPE_654=Pokémon Volpe
ZKN_TYPE_655=Pokémon Volpe
ZKN_TYPE_656=Pokémon Schiumorana
ZKN_TYPE_657=Pokémon Schiumorana
ZKN_TYPE_658=Pokémon Ninja
ZKN_TYPE_659=Pokémon Scavabuche
ZKN_TYPE_660=Pokémon Scavabuche
ZKN_TYPE_661=Pokémon Pettirosso
ZKN_TYPE_662=Pokémon Sfavillante
ZKN_TYPE_663=Pokémon Ardifiamma
ZKN_TYPE_664=Pokémon Tirascaglie
ZKN_TYPE_665=Pokémon Tirascaglie
ZKN_TYPE_666=Pokémon Farfascaglia
ZKN_TYPE_667=Pokémon Leoncino
ZKN_TYPE_668=Pokémon Reale
ZKN_TYPE_669=Pokémon Monofiore
ZKN_TYPE_670=Pokémon Monofiore
ZKN_TYPE_671=Pokémon Giardino
ZKN_TYPE_672=Pokémon Cavalcatura
ZKN_TYPE_673=Pokémon Cavalcatura
ZKN_TYPE_674=Pokémon Briccone
ZKN_TYPE_675=Pokémon Occhiotruce
ZKN_TYPE_676=Pokémon Barboncino
ZKN_TYPE_677=Pokémon Moderazione
ZKN_TYPE_678=Pokémon Temperanza
ZKN_TYPE_679=Pokémon Armabianca
ZKN_TYPE_680=Pokémon Armabianca
ZKN_TYPE_681=Pokémon Spadareale
ZKN_TYPE_682=Pokémon Profumo
ZKN_TYPE_683=Pokémon Fragranza
ZKN_TYPE_684=Pokémon Zuccherino
ZKN_TYPE_685=Pokémon Panna
ZKN_TYPE_686=Pokémon Volteggio
ZKN_TYPE_687=Pokémon Giravolta
ZKN_TYPE_688=Pokémon Bimano
ZKN_TYPE_689=Pokémon Aggregato
ZKN_TYPE_690=Pokémon Similalga
ZKN_TYPE_691=Pokémon Similalga
ZKN_TYPE_692=Pokémon Zampillo
ZKN_TYPE_693=Pokémon Acqualancio
ZKN_TYPE_694=Pokémon Generatore
ZKN_TYPE_695=Pokémon Generatore
ZKN_TYPE_696=Pokémon Principino
ZKN_TYPE_697=Pokémon Tiranno
ZKN_TYPE_698=Pokémon Tundra
ZKN_TYPE_699=Pokémon Tundra
ZKN_TYPE_700=Pokémon Legame
ZKN_TYPE_701=Pokémon Lottalibera
ZKN_TYPE_702=Pokémon Antenna
ZKN_TYPE_703=Pokémon Gemma
ZKN_TYPE_704=Pokémon Mollusco
ZKN_TYPE_705=Pokémon Mollusco
ZKN_TYPE_706=Pokémon Drago
ZKN_TYPE_707=Pokémon Portachiavi
ZKN_TYPE_708=Pokémon Ceppo
ZKN_TYPE_709=Pokémon Alberantico
ZKN_TYPE_710=Pokémon Zucca
ZKN_TYPE_711=Pokémon Zucca
ZKN_TYPE_712=Pokémon Ghiacciolo
ZKN_TYPE_713=Pokémon Iceberg
ZKN_TYPE_714=Pokémon Ondasonora
ZKN_TYPE_715=Pokémon Ondasonora
ZKN_TYPE_716=Pokémon Creazione
ZKN_TYPE_717=Pokémon Distruzione
ZKN_TYPE_718=Pokémon Equilibrio
ZKN_TYPE_719=Pokémon Gemma
ZKN_TYPE_720=Pokémon Birba
ZKN_TYPE_721=Pokémon Vapore
ZKN_TYPE_722=Pokémon Aliderba
ZKN_TYPE_723=Pokémon Piumaffilata
ZKN_TYPE_724=Pokémon Alifreccia
ZKN_TYPE_725=Pokémon Pirofelino
ZKN_TYPE_726=Pokémon Pirofelino
ZKN_TYPE_727=Pokémon Colpibassi
ZKN_TYPE_728=Pokémon Otaria
ZKN_TYPE_729=Pokémon Pop Star
ZKN_TYPE_730=Pokémon Solista
ZKN_TYPE_731=Pokémon Picchio
ZKN_TYPE_732=Pokémon Trombecco
ZKN_TYPE_733=Pokémon Cannone
ZKN_TYPE_734=Pokémon Pattuglia
ZKN_TYPE_735=Pokémon Sorveglianza
ZKN_TYPE_736=Pokémon Coleolarva
ZKN_TYPE_737=Pokémon Batteria
ZKN_TYPE_738=Pokémon Cervolante
ZKN_TYPE_739=Pokémon Pugile
ZKN_TYPE_740=Pokémon Peligranchio
ZKN_TYPE_741=Pokémon Danza
ZKN_TYPE_742=Pokémon Bombilide
ZKN_TYPE_743=Pokémon Bombilide
ZKN_TYPE_744=Pokémon Cagnolino
ZKN_TYPE_745=Pokémon Lupo
ZKN_TYPE_746=Pokémon Pesciolino
ZKN_TYPE_747=Pokémon Stellatroce
ZKN_TYPE_748=Pokémon Stellatroce
ZKN_TYPE_749=Pokémon Ciuconiglio
ZKN_TYPE_750=Pokémon Fortequino
ZKN_TYPE_751=Pokémon Bolladacqua
ZKN_TYPE_752=Pokémon Bolladacqua
ZKN_TYPE_753=Pokémon Mantiderba
ZKN_TYPE_754=Pokémon Mantifiore
ZKN_TYPE_755=Pokémon Luminescenza
ZKN_TYPE_756=Pokémon Luminescenza
ZKN_TYPE_757=Pokémon Lucertossina
ZKN_TYPE_758=Pokémon Lucertossina
ZKN_TYPE_759=Pokémon Bizzoso
ZKN_TYPE_760=Pokémon Fortebraccio
ZKN_TYPE_761=Pokémon Frutto
ZKN_TYPE_762=Pokémon Frutto
ZKN_TYPE_763=Pokémon Frutto
ZKN_TYPE_764=Pokémon Ghirlanda
ZKN_TYPE_765=Pokémon Saggio
ZKN_TYPE_766=Pokémon Giocosquadra
ZKN_TYPE_767=Pokémon Lestopode
ZKN_TYPE_768=Pokémon Blindato
ZKN_TYPE_769=Pokémon Montesabbia
ZKN_TYPE_770=Pokémon Castelsabbia
ZKN_TYPE_771=Pokémon Oloturia
ZKN_TYPE_772=Pokémon Multigene
ZKN_TYPE_773=Pokémon Multigene
ZKN_TYPE_774=Pokémon Meteora
ZKN_TYPE_775=Pokémon Dormiveglia
ZKN_TYPE_776=Pokémon Tartabomba
ZKN_TYPE_777=Pokémon Ricciopalla
ZKN_TYPE_778=Pokémon Fantasmanto
ZKN_TYPE_779=Pokémon Sfregadenti
ZKN_TYPE_780=Pokémon Tuttacalma
ZKN_TYPE_781=Pokémon Brandellalga
ZKN_TYPE_782=Pokémon Squama
ZKN_TYPE_783=Pokémon Squama
ZKN_TYPE_784=Pokémon Squama
ZKN_TYPE_785=Pokémon Nume Locale
ZKN_TYPE_786=Pokémon Nume Locale
ZKN_TYPE_787=Pokémon Nume Locale
ZKN_TYPE_788=Pokémon Nume Locale
ZKN_TYPE_789=Pokémon Nebulosa
ZKN_TYPE_790=Pokémon Protostella
ZKN_TYPE_791=Pokémon Solare
ZKN_TYPE_792=Pokémon Lunare
ZKN_TYPE_793=Pokémon Parassita
ZKN_TYPE_794=Pokémon Gonfiacorpo
ZKN_TYPE_795=Pokémon Leggiadria
ZKN_TYPE_796=Pokémon Luminaria
ZKN_TYPE_797=Pokémon Decollo
ZKN_TYPE_798=Pokémon Spadatratta
ZKN_TYPE_799=Pokémon Divoratutto
ZKN_TYPE_800=Pokémon Prisma
ZKN_TYPE_801=Pokémon Artificiale
ZKN_TYPE_802=Pokémon Vivinombra
ZKN_TYPE_803=Pokémon Velenago
ZKN_TYPE_804=Pokémon Velenago
ZKN_TYPE_805=Pokémon Bastione
ZKN_TYPE_806=Pokémon Pirotecnico
ZKN_TYPE_807=Pokémon Fulmirapido
ZKN_TYPE_808=Pokémon Bullone
ZKN_TYPE_809=Pokémon Bullone
ZKN_TYPE_810=Pokémon Scimpanzé
ZKN_TYPE_811=Pokémon Ritmo
ZKN_TYPE_812=Pokémon Percussione
ZKN_TYPE_813=Pokémon Coniglio
ZKN_TYPE_814=Pokémon Coniglio
ZKN_TYPE_815=Pokémon Cannoniere
ZKN_TYPE_816=Pokémon Acquacertola
ZKN_TYPE_817=Pokémon Acquacertola
ZKN_TYPE_818=Pokémon Agente
ZKN_TYPE_819=Pokémon Guancepiene
ZKN_TYPE_820=Pokémon Ingordigia
ZKN_TYPE_821=Pokémon Uccellino
ZKN_TYPE_822=Pokémon Corvo
ZKN_TYPE_823=Pokémon Corvo
ZKN_TYPE_824=Pokémon Coleolarva
ZKN_TYPE_825=Pokémon Radome
ZKN_TYPE_826=Pokémon Settepunti
ZKN_TYPE_827=Pokémon Volpe
ZKN_TYPE_828=Pokémon Volpe
ZKN_TYPE_829=Pokémon Fiorfronzolo
ZKN_TYPE_830=Pokémon Cotofronzolo
ZKN_TYPE_831=Pokémon Pecora
ZKN_TYPE_832=Pokémon Pecora
ZKN_TYPE_833=Pokémon Mordace
ZKN_TYPE_834=Pokémon Morso
ZKN_TYPE_835=Pokémon Cagnolino
ZKN_TYPE_836=Pokémon Cane
ZKN_TYPE_837=Pokémon Carbone
ZKN_TYPE_838=Pokémon Carbone
ZKN_TYPE_839=Pokémon Carbone
ZKN_TYPE_840=Pokémon Pomicolo
ZKN_TYPE_841=Pokémon Pomivolo
ZKN_TYPE_842=Pokémon Pomisucco
ZKN_TYPE_843=Pokémon Sabbiaserpe
ZKN_TYPE_844=Pokémon Sabbiaserpe
ZKN_TYPE_845=Pokémon Inghiottone
ZKN_TYPE_846=Pokémon Carica
ZKN_TYPE_847=Pokémon Spiedo
ZKN_TYPE_848=Pokémon Bebè
ZKN_TYPE_849=Pokémon Punk
ZKN_TYPE_850=Pokémon Termogeno
ZKN_TYPE_851=Pokémon Termogeno
ZKN_TYPE_852=Pokémon Bizze
ZKN_TYPE_853=Pokémon Jujitsu
ZKN_TYPE_854=Pokémon Tè
ZKN_TYPE_855=Pokémon Tè
ZKN_TYPE_856=Pokémon Calma
ZKN_TYPE_857=Pokémon Quiete
ZKN_TYPE_858=Pokémon Silenzio
ZKN_TYPE_859=Pokémon Scaltro
ZKN_TYPE_860=Pokémon Furbizia
ZKN_TYPE_861=Pokémon Granfisico
ZKN_TYPE_862=Pokémon Bloccaggio
ZKN_TYPE_863=Pokémon Vichingo
ZKN_TYPE_864=Pokémon Corallo
ZKN_TYPE_865=Pokémon Selvanatra
ZKN_TYPE_866=Pokémon Comico
ZKN_TYPE_867=Pokémon Rancore
ZKN_TYPE_868=Pokémon Pannafresca
ZKN_TYPE_869=Pokémon Pannafresca
ZKN_TYPE_870=Pokémon Schieramento
ZKN_TYPE_871=Pokémon Echino
ZKN_TYPE_872=Pokémon Baco
ZKN_TYPE_873=Pokémon Gelofalena
ZKN_TYPE_874=Pokémon Megalito
ZKN_TYPE_875=Pokémon Pinguino
ZKN_TYPE_876=Pokémon Emozione
ZKN_TYPE_877=Pokémon Doppiafaccia
ZKN_TYPE_878=Pokémon Bronzofante
ZKN_TYPE_879=Pokémon Bronzofante
ZKN_TYPE_880=Pokémon Fossile
ZKN_TYPE_881=Pokémon Fossile
ZKN_TYPE_882=Pokémon Fossile
ZKN_TYPE_883=Pokémon Fossile
ZKN_TYPE_884=Pokémon Metallolega
ZKN_TYPE_885=Pokémon Risentimento
ZKN_TYPE_886=Pokémon Sostegno
ZKN_TYPE_887=Pokémon Furtivo
ZKN_TYPE_888=Pokémon Guerriero
ZKN_TYPE_889=Pokémon Guerriero
ZKN_TYPE_890=Pokémon Gigante
ZKN_TYPE_077_001=Pokémon Singolcorno
ZKN_TYPE_078_001=Pokémon Singolcorno
ZKN_TYPE_122_001=Pokémon Danza
ZKN_TYPE_555_002=Pokémon Daruma
ZKN_TYPE_720_001=Pokémon Genio
