ATKMSG_M_000=(!)
ATKMSG_Y_000=(!)
ATKMSG_E_000=(!)
ATKMSG_N_000=(!)
ATKMSG_M_001=¡{0x0101,0x0000} ha usado Destructor!
ATKMSG_Y_088=¡El {0x0101,0x0000} salvaje ha usado Lanzarrocas!
ATKMSG_E_088=¡El {0x0101,0x0000} enemigo ha usado Lanzarrocas!
ATKMSG_N_088=¡El {0x0101,0x0000} dominante ha usado Lanzarrocas!
ATKMSG_M_089=¡{0x0101,0x0000} ha usado Terremoto!
ATKMSG_Y_089=¡El {0x0101,0x0000} salvaje ha usado Terremoto!
ATKMSG_E_089=¡El {0x0101,0x0000} enemigo ha usado Terremoto!
ATKMSG_N_089=¡El {0x0101,0x0000} dominante ha usado Terremoto!
ATKMSG_M_090=¡{0x0101,0x0000} ha usado Fisura!
ATKMSG_Y_090=¡El {0x0101,0x0000} salvaje ha usado Fisura!
ATKMSG_E_090=¡El {0x0101,0x0000} enemigo ha usado Fisura!
ATKMSG_N_090=¡El {0x0101,0x0000} dominante ha usado Fisura!
ATKMSG_M_091=¡{0x0101,0x0000} ha usado Excavar!
ATKMSG_Y_091=¡El {0x0101,0x0000} salvaje ha usado Excavar!
ATKMSG_E_091=¡El {0x0101,0x0000} enemigo ha usado Excavar!
ATKMSG_N_091=¡El {0x0101,0x0000} dominante ha usado Excavar!
ATKMSG_M_092=¡{0x0101,0x0000} ha usado Tóxico!
ATKMSG_Y_092=¡El {0x0101,0x0000} salvaje ha usado Tóxico!
ATKMSG_E_092=¡El {0x0101,0x0000} enemigo ha usado Tóxico!
ATKMSG_N_092=¡El {0x0101,0x0000} dominante ha usado Tóxico!
ATKMSG_M_093=¡{0x0101,0x0000} ha usado Confusión!
ATKMSG_Y_093=¡El {0x0101,0x0000} salvaje ha usado Confusión!
ATKMSG_E_093=¡El {0x0101,0x0000} enemigo ha usado Confusión!
ATKMSG_N_093=¡El {0x0101,0x0000} dominante ha usado Confusión!
ATKMSG_M_094=¡{0x0101,0x0000} ha usado Psíquico!
ATKMSG_Y_094=¡El {0x0101,0x0000} salvaje ha usado Psíquico!
ATKMSG_E_094=¡El {0x0101,0x0000} enemigo ha usado Psíquico!
ATKMSG_N_094=¡El {0x0101,0x0000} dominante ha usado Psíquico!
ATKMSG_M_095=¡{0x0101,0x0000} ha usado Hipnosis!
ATKMSG_Y_095=¡El {0x0101,0x0000} salvaje ha usado Hipnosis!
ATKMSG_E_095=¡El {0x0101,0x0000} enemigo ha usado Hipnosis!
ATKMSG_N_095=¡El {0x0101,0x0000} dominante ha usado Hipnosis!
ATKMSG_M_096=¡{0x0101,0x0000} ha usado Meditación!
ATKMSG_Y_096=¡El {0x0101,0x0000} salvaje ha usado Meditación!
ATKMSG_E_096=¡El {0x0101,0x0000} enemigo ha usado Meditación!
ATKMSG_N_096=¡El {0x0101,0x0000} dominante ha usado Meditación!
ATKMSG_M_097=¡{0x0101,0x0000} ha usado Agilidad!
ATKMSG_Y_097=¡El {0x0101,0x0000} salvaje ha usado Agilidad!
ATKMSG_E_097=¡El {0x0101,0x0000} enemigo ha usado Agilidad!
ATKMSG_N_097=¡El {0x0101,0x0000} dominante ha usado Agilidad!
ATKMSG_M_098=¡{0x0101,0x0000} ha usado Ataque Rápido!
ATKMSG_Y_098=¡El {0x0101,0x0000} salvaje ha usado Ataque Rápido!
ATKMSG_E_098=¡El {0x0101,0x0000} enemigo ha usado Ataque Rápido!
ATKMSG_N_098=¡El {0x0101,0x0000} dominante ha usado Ataque Rápido!
ATKMSG_M_099=¡{0x0101,0x0000} ha usado Furia!
ATKMSG_Y_099=¡El {0x0101,0x0000} salvaje ha usado Furia!
ATKMSG_E_099=¡El {0x0101,0x0000} enemigo ha usado Furia!
ATKMSG_N_099=¡El {0x0101,0x0000} dominante ha usado Furia!
ATKMSG_M_100=¡{0x0101,0x0000} ha usado Teletransporte!
ATKMSG_Y_100=¡El {0x0101,0x0000} salvaje ha usado Teletransporte!
ATKMSG_E_100=¡El {0x0101,0x0000} enemigo ha usado Teletransporte!
ATKMSG_N_100=¡El {0x0101,0x0000} dominante ha usado Teletransporte!
ATKMSG_M_101=¡{0x0101,0x0000} ha usado Tinieblas!
ATKMSG_Y_101=¡El {0x0101,0x0000} salvaje ha usado Tinieblas!
ATKMSG_E_101=¡El {0x0101,0x0000} enemigo ha usado Tinieblas!
ATKMSG_N_101=¡El {0x0101,0x0000} dominante ha usado Tinieblas!
ATKMSG_M_102=¡{0x0101,0x0000} ha usado Mimético!
ATKMSG_Y_102=¡El {0x0101,0x0000} salvaje ha usado Mimético!
ATKMSG_E_102=¡El {0x0101,0x0000} enemigo ha usado Mimético!
ATKMSG_N_102=¡El {0x0101,0x0000} dominante ha usado Mimético!
ATKMSG_M_103=¡{0x0101,0x0000} ha usado Chirrido!
ATKMSG_Y_103=¡El {0x0101,0x0000} salvaje ha usado Chirrido!
ATKMSG_E_103=¡El {0x0101,0x0000} enemigo ha usado Chirrido!
ATKMSG_N_103=¡El {0x0101,0x0000} dominante ha usado Chirrido!
ATKMSG_M_104=¡{0x0101,0x0000} ha usado Doble Equipo!
ATKMSG_Y_104=¡El {0x0101,0x0000} salvaje ha usado Doble Equipo!
ATKMSG_E_104=¡El {0x0101,0x0000} enemigo ha usado Doble Equipo!
ATKMSG_N_104=¡El {0x0101,0x0000} dominante ha usado Doble Equipo!
ATKMSG_M_105=¡{0x0101,0x0000} ha usado Recuperación!
ATKMSG_Y_105=¡El {0x0101,0x0000} salvaje ha usado Recuperación!
ATKMSG_E_105=¡El {0x0101,0x0000} enemigo ha usado Recuperación!
ATKMSG_N_105=¡El {0x0101,0x0000} dominante ha usado Recuperación!
ATKMSG_M_106=¡{0x0101,0x0000} ha usado Fortaleza!
ATKMSG_Y_106=¡El {0x0101,0x0000} salvaje ha usado Fortaleza!
ATKMSG_E_106=¡El {0x0101,0x0000} enemigo ha usado Fortaleza!
ATKMSG_N_106=¡El {0x0101,0x0000} dominante ha usado Fortaleza!
ATKMSG_M_107=¡{0x0101,0x0000} ha usado Reducción!
ATKMSG_Y_107=¡El {0x0101,0x0000} salvaje ha usado Reducción!
ATKMSG_E_107=¡El {0x0101,0x0000} enemigo ha usado Reducción!
ATKMSG_N_107=¡El {0x0101,0x0000} dominante ha usado Reducción!
ATKMSG_M_108=¡{0x0101,0x0000} ha usado Pantalla de Humo!
ATKMSG_Y_108=¡El {0x0101,0x0000} salvaje ha usado Pantalla de Humo!
ATKMSG_E_108=¡El {0x0101,0x0000} enemigo ha usado Pantalla de Humo!
ATKMSG_N_108=¡El {0x0101,0x0000} dominante ha usado Pantalla de Humo!
ATKMSG_M_109=¡{0x0101,0x0000} ha usado Rayo Confuso!
ATKMSG_Y_109=¡El {0x0101,0x0000} salvaje ha usado Rayo Confuso!
ATKMSG_E_109=¡El {0x0101,0x0000} enemigo ha usado Rayo Confuso!
ATKMSG_N_109=¡El {0x0101,0x0000} dominante ha usado Rayo Confuso!
ATKMSG_M_110=¡{0x0101,0x0000} ha usado Refugio!
ATKMSG_Y_110=¡El {0x0101,0x0000} salvaje ha usado Refugio!
ATKMSG_E_110=¡El {0x0101,0x0000} enemigo ha usado Refugio!
ATKMSG_N_110=¡El {0x0101,0x0000} dominante ha usado Refugio!
ATKMSG_M_111=¡{0x0101,0x0000} ha usado Rizo Defensa!
ATKMSG_Y_111=¡El {0x0101,0x0000} salvaje ha usado Rizo Defensa!
ATKMSG_E_111=¡El {0x0101,0x0000} enemigo ha usado Rizo Defensa!
ATKMSG_N_111=¡El {0x0101,0x0000} dominante ha usado Rizo Defensa!
ATKMSG_M_112=¡{0x0101,0x0000} ha usado Barrera!
ATKMSG_Y_112=¡El {0x0101,0x0000} salvaje ha usado Barrera!
ATKMSG_E_112=¡El {0x0101,0x0000} enemigo ha usado Barrera!
ATKMSG_N_112=¡El {0x0101,0x0000} dominante ha usado Barrera!
ATKMSG_M_113=¡{0x0101,0x0000} ha usado Pantalla de Luz!
ATKMSG_Y_113=¡El {0x0101,0x0000} salvaje ha usado Pantalla de Luz!
ATKMSG_E_113=¡El {0x0101,0x0000} enemigo ha usado Pantalla de Luz!
ATKMSG_N_113=¡El {0x0101,0x0000} dominante ha usado Pantalla de Luz!
ATKMSG_M_114=¡{0x0101,0x0000} ha usado Niebla!
ATKMSG_Y_114=¡El {0x0101,0x0000} salvaje ha usado Niebla!
ATKMSG_E_114=¡El {0x0101,0x0000} enemigo ha usado Niebla!
ATKMSG_N_114=¡El {0x0101,0x0000} dominante ha usado Niebla!
ATKMSG_M_115=¡{0x0101,0x0000} ha usado Reflejo!
ATKMSG_Y_115=¡El {0x0101,0x0000} salvaje ha usado Reflejo!
ATKMSG_E_115=¡El {0x0101,0x0000} enemigo ha usado Reflejo!
ATKMSG_N_115=¡El {0x0101,0x0000} dominante ha usado Reflejo!
ATKMSG_M_116=¡{0x0101,0x0000} ha usado Foco Energía!
ATKMSG_Y_116=¡El {0x0101,0x0000} salvaje ha usado Foco Energía!
ATKMSG_E_116=¡El {0x0101,0x0000} enemigo ha usado Foco Energía!
ATKMSG_N_116=¡El {0x0101,0x0000} dominante ha usado Foco Energía!
ATKMSG_M_117=¡{0x0101,0x0000} ha usado Venganza!
ATKMSG_Y_117=¡El {0x0101,0x0000} salvaje ha usado Venganza!
ATKMSG_E_117=¡El {0x0101,0x0000} enemigo ha usado Venganza!
ATKMSG_N_117=¡El {0x0101,0x0000} dominante ha usado Venganza!
ATKMSG_M_118=¡{0x0101,0x0000} ha usado Metrónomo!
ATKMSG_Y_118=¡El {0x0101,0x0000} salvaje ha usado Metrónomo!
ATKMSG_E_118=¡El {0x0101,0x0000} enemigo ha usado Metrónomo!
ATKMSG_N_118=¡El {0x0101,0x0000} dominante ha usado Metrónomo!
ATKMSG_M_119=¡{0x0101,0x0000} ha usado Mov. Espejo!
ATKMSG_Y_119=¡El {0x0101,0x0000} salvaje ha usado Mov. Espejo!
ATKMSG_E_119=¡El {0x0101,0x0000} enemigo ha usado Mov. Espejo!
ATKMSG_N_119=¡El {0x0101,0x0000} dominante ha usado Mov. Espejo!
ATKMSG_M_120=¡{0x0101,0x0000} ha usado Autodestrucción!
ATKMSG_Y_120=¡El {0x0101,0x0000} salvaje ha usado Autodestrucción!
ATKMSG_E_120=¡El {0x0101,0x0000} enemigo ha usado Autodestrucción!
ATKMSG_N_120=¡El {0x0101,0x0000} dominante ha usado Autodestrucción!
ATKMSG_M_121=¡{0x0101,0x0000} ha usado Bomba Huevo!
ATKMSG_Y_121=¡El {0x0101,0x0000} salvaje ha usado Bomba Huevo!
ATKMSG_E_121=¡El {0x0101,0x0000} enemigo ha usado Bomba Huevo!
ATKMSG_N_121=¡El {0x0101,0x0000} dominante ha usado Bomba Huevo!
ATKMSG_M_122=¡{0x0101,0x0000} ha usado Lengüetazo!
ATKMSG_Y_122=¡El {0x0101,0x0000} salvaje ha usado Lengüetazo!
ATKMSG_E_122=¡El {0x0101,0x0000} enemigo ha usado Lengüetazo!
ATKMSG_N_122=¡El {0x0101,0x0000} dominante ha usado Lengüetazo!
ATKMSG_M_123=¡{0x0101,0x0000} ha usado Polución!
ATKMSG_Y_123=¡El {0x0101,0x0000} salvaje ha usado Polución!
ATKMSG_E_123=¡El {0x0101,0x0000} enemigo ha usado Polución!
ATKMSG_N_123=¡El {0x0101,0x0000} dominante ha usado Polución!
ATKMSG_M_124=¡{0x0101,0x0000} ha usado Residuos!
ATKMSG_Y_124=¡El {0x0101,0x0000} salvaje ha usado Residuos!
ATKMSG_E_124=¡El {0x0101,0x0000} enemigo ha usado Residuos!
ATKMSG_N_124=¡El {0x0101,0x0000} dominante ha usado Residuos!
ATKMSG_M_125=¡{0x0101,0x0000} ha usado Hueso Palo!
ATKMSG_Y_125=¡El {0x0101,0x0000} salvaje ha usado Hueso Palo!
ATKMSG_E_125=¡El {0x0101,0x0000} enemigo ha usado Hueso Palo!
ATKMSG_N_125=¡El {0x0101,0x0000} dominante ha usado Hueso Palo!
ATKMSG_M_126=¡{0x0101,0x0000} ha usado Llamarada!
ATKMSG_Y_126=¡El {0x0101,0x0000} salvaje ha usado Llamarada!
ATKMSG_E_126=¡El {0x0101,0x0000} enemigo ha usado Llamarada!
ATKMSG_N_126=¡El {0x0101,0x0000} dominante ha usado Llamarada!
ATKMSG_M_127=¡{0x0101,0x0000} ha usado Cascada!
ATKMSG_Y_127=¡El {0x0101,0x0000} salvaje ha usado Cascada!
ATKMSG_E_127=¡El {0x0101,0x0000} enemigo ha usado Cascada!
ATKMSG_N_127=¡El {0x0101,0x0000} dominante ha usado Cascada!
ATKMSG_M_128=¡{0x0101,0x0000} ha usado Tenaza!
ATKMSG_Y_128=¡El {0x0101,0x0000} salvaje ha usado Tenaza!
ATKMSG_E_128=¡El {0x0101,0x0000} enemigo ha usado Tenaza!
ATKMSG_N_128=¡El {0x0101,0x0000} dominante ha usado Tenaza!
ATKMSG_M_129=¡{0x0101,0x0000} ha usado Rapidez!
ATKMSG_Y_129=¡El {0x0101,0x0000} salvaje ha usado Rapidez!
ATKMSG_E_129=¡El {0x0101,0x0000} enemigo ha usado Rapidez!
ATKMSG_N_129=¡El {0x0101,0x0000} dominante ha usado Rapidez!
ATKMSG_M_130=¡{0x0101,0x0000} ha usado Cabezazo!
ATKMSG_Y_130=¡El {0x0101,0x0000} salvaje ha usado Cabezazo!
ATKMSG_E_130=¡El {0x0101,0x0000} enemigo ha usado Cabezazo!
ATKMSG_N_130=¡El {0x0101,0x0000} dominante ha usado Cabezazo!
ATKMSG_M_131=¡{0x0101,0x0000} ha usado Clavo Cañón!
ATKMSG_Y_131=¡El {0x0101,0x0000} salvaje ha usado Clavo Cañón!
ATKMSG_E_131=¡El {0x0101,0x0000} enemigo ha usado Clavo Cañón!
ATKMSG_N_131=¡El {0x0101,0x0000} dominante ha usado Clavo Cañón!
ATKMSG_M_132=¡{0x0101,0x0000} ha usado Restricción!
ATKMSG_Y_132=¡El {0x0101,0x0000} salvaje ha usado Restricción!
ATKMSG_E_132=¡El {0x0101,0x0000} enemigo ha usado Restricción!
ATKMSG_N_132=¡El {0x0101,0x0000} dominante ha usado Restricción!
ATKMSG_M_133=¡{0x0101,0x0000} ha usado Amnesia!
ATKMSG_Y_133=¡El {0x0101,0x0000} salvaje ha usado Amnesia!
ATKMSG_E_133=¡El {0x0101,0x0000} enemigo ha usado Amnesia!
ATKMSG_N_133=¡El {0x0101,0x0000} dominante ha usado Amnesia!
ATKMSG_M_134=¡{0x0101,0x0000} ha usado Kinético!
ATKMSG_Y_134=¡El {0x0101,0x0000} salvaje ha usado Kinético!
ATKMSG_E_134=¡El {0x0101,0x0000} enemigo ha usado Kinético!
ATKMSG_N_134=¡El {0x0101,0x0000} dominante ha usado Kinético!
ATKMSG_M_135=¡{0x0101,0x0000} ha usado Amortiguador!
ATKMSG_Y_135=¡El {0x0101,0x0000} salvaje ha usado Amortiguador!
ATKMSG_E_135=¡El {0x0101,0x0000} enemigo ha usado Amortiguador!
ATKMSG_N_135=¡El {0x0101,0x0000} dominante ha usado Amortiguador!
ATKMSG_M_136=¡{0x0101,0x0000} ha usado Pat. Salto Alta!
ATKMSG_Y_136=¡El {0x0101,0x0000} salvaje ha usado Pat. Salto Alta!
ATKMSG_E_136=¡El {0x0101,0x0000} enemigo ha usado Pat. Salto Alta!
ATKMSG_N_136=¡El {0x0101,0x0000} dominante ha usado Pat. Salto Alta!
ATKMSG_M_137=¡{0x0101,0x0000} ha usado Deslumbrar!
ATKMSG_Y_137=¡El {0x0101,0x0000} salvaje ha usado Deslumbrar!
ATKMSG_E_137=¡El {0x0101,0x0000} enemigo ha usado Deslumbrar!
ATKMSG_N_137=¡El {0x0101,0x0000} dominante ha usado Deslumbrar!
ATKMSG_M_138=¡{0x0101,0x0000} ha usado Come Sueños!
ATKMSG_Y_138=¡El {0x0101,0x0000} salvaje ha usado Come Sueños!
ATKMSG_E_138=¡El {0x0101,0x0000} enemigo ha usado Come Sueños!
ATKMSG_N_138=¡El {0x0101,0x0000} dominante ha usado Come Sueños!
ATKMSG_M_139=¡{0x0101,0x0000} ha usado Gas Venenoso!
ATKMSG_Y_139=¡El {0x0101,0x0000} salvaje ha usado Gas Venenoso!
ATKMSG_E_139=¡El {0x0101,0x0000} enemigo ha usado Gas Venenoso!
ATKMSG_N_139=¡El {0x0101,0x0000} dominante ha usado Gas Venenoso!
ATKMSG_M_140=¡{0x0101,0x0000} ha usado Presa!
ATKMSG_Y_140=¡El {0x0101,0x0000} salvaje ha usado Presa!
ATKMSG_E_140=¡El {0x0101,0x0000} enemigo ha usado Presa!
ATKMSG_N_140=¡El {0x0101,0x0000} dominante ha usado Presa!
ATKMSG_M_141=¡{0x0101,0x0000} ha usado Chupavidas!
ATKMSG_Y_141=¡El {0x0101,0x0000} salvaje ha usado Chupavidas!
ATKMSG_E_141=¡El {0x0101,0x0000} enemigo ha usado Chupavidas!
ATKMSG_N_141=¡El {0x0101,0x0000} dominante ha usado Chupavidas!
ATKMSG_M_142=¡{0x0101,0x0000} ha usado Beso Amoroso!
ATKMSG_Y_142=¡El {0x0101,0x0000} salvaje ha usado Beso Amoroso!
ATKMSG_E_142=¡El {0x0101,0x0000} enemigo ha usado Beso Amoroso!
ATKMSG_N_142=¡El {0x0101,0x0000} dominante ha usado Beso Amoroso!
ATKMSG_M_143=¡{0x0101,0x0000} ha usado Ataque Aéreo!
ATKMSG_Y_143=¡El {0x0101,0x0000} salvaje ha usado Ataque Aéreo!
ATKMSG_E_143=¡El {0x0101,0x0000} enemigo ha usado Ataque Aéreo!
ATKMSG_N_143=¡El {0x0101,0x0000} dominante ha usado Ataque Aéreo!
ATKMSG_M_144=¡{0x0101,0x0000} ha usado Transformación!
ATKMSG_Y_144=¡El {0x0101,0x0000} salvaje ha usado Transformación!
ATKMSG_E_144=¡El {0x0101,0x0000} enemigo ha usado Transformación!
ATKMSG_N_144=¡El {0x0101,0x0000} dominante ha usado Transformación!
ATKMSG_M_145=¡{0x0101,0x0000} ha usado Burbuja!
ATKMSG_Y_145=¡El {0x0101,0x0000} salvaje ha usado Burbuja!
ATKMSG_E_145=¡El {0x0101,0x0000} enemigo ha usado Burbuja!
ATKMSG_N_145=¡El {0x0101,0x0000} dominante ha usado Burbuja!
ATKMSG_M_146=¡{0x0101,0x0000} ha usado Puño Mareo!
ATKMSG_Y_146=¡El {0x0101,0x0000} salvaje ha usado Puño Mareo!
ATKMSG_E_146=¡El {0x0101,0x0000} enemigo ha usado Puño Mareo!
ATKMSG_N_146=¡El {0x0101,0x0000} dominante ha usado Puño Mareo!
ATKMSG_M_147=¡{0x0101,0x0000} ha usado Espora!
ATKMSG_Y_147=¡El {0x0101,0x0000} salvaje ha usado Espora!
ATKMSG_E_147=¡El {0x0101,0x0000} enemigo ha usado Espora!
ATKMSG_N_147=¡El {0x0101,0x0000} dominante ha usado Espora!
ATKMSG_M_148=¡{0x0101,0x0000} ha usado Destello!
ATKMSG_Y_148=¡El {0x0101,0x0000} salvaje ha usado Destello!
ATKMSG_E_148=¡El {0x0101,0x0000} enemigo ha usado Destello!
ATKMSG_N_148=¡El {0x0101,0x0000} dominante ha usado Destello!
ATKMSG_M_149=¡{0x0101,0x0000} ha usado Psicoonda!
ATKMSG_Y_149=¡El {0x0101,0x0000} salvaje ha usado Psicoonda!
ATKMSG_E_149=¡El {0x0101,0x0000} enemigo ha usado Psicoonda!
ATKMSG_N_149=¡El {0x0101,0x0000} dominante ha usado Psicoonda!
ATKMSG_M_150=¡{0x0101,0x0000} ha usado Salpicadura!
ATKMSG_Y_150=¡El {0x0101,0x0000} salvaje ha usado Salpicadura!
ATKMSG_E_150=¡El {0x0101,0x0000} enemigo ha usado Salpicadura!
ATKMSG_N_150=¡El {0x0101,0x0000} dominante ha usado Salpicadura!
ATKMSG_M_151=¡{0x0101,0x0000} ha usado Armadura Ácida!
ATKMSG_Y_151=¡El {0x0101,0x0000} salvaje ha usado Armadura Ácida!
ATKMSG_E_151=¡El {0x0101,0x0000} enemigo ha usado Armadura Ácida!
ATKMSG_N_151=¡El {0x0101,0x0000} dominante ha usado Armadura Ácida!
ATKMSG_M_152=¡{0x0101,0x0000} ha usado Martillazo!
ATKMSG_Y_152=¡El {0x0101,0x0000} salvaje ha usado Martillazo!
ATKMSG_E_152=¡El {0x0101,0x0000} enemigo ha usado Martillazo!
ATKMSG_N_152=¡El {0x0101,0x0000} dominante ha usado Martillazo!
ATKMSG_M_153=¡{0x0101,0x0000} ha usado Explosión!
ATKMSG_Y_153=¡El {0x0101,0x0000} salvaje ha usado Explosión!
ATKMSG_E_153=¡El {0x0101,0x0000} enemigo ha usado Explosión!
ATKMSG_N_153=¡El {0x0101,0x0000} dominante ha usado Explosión!
ATKMSG_M_154=¡{0x0101,0x0000} ha usado Golpes Furia!
ATKMSG_Y_154=¡El {0x0101,0x0000} salvaje ha usado Golpes Furia!
ATKMSG_E_154=¡El {0x0101,0x0000} enemigo ha usado Golpes Furia!
ATKMSG_N_154=¡El {0x0101,0x0000} dominante ha usado Golpes Furia!
ATKMSG_M_155=¡{0x0101,0x0000} ha usado Huesomerang!
ATKMSG_Y_155=¡El {0x0101,0x0000} salvaje ha usado Huesomerang!
ATKMSG_E_155=¡El {0x0101,0x0000} enemigo ha usado Huesomerang!
ATKMSG_N_155=¡El {0x0101,0x0000} dominante ha usado Huesomerang!
ATKMSG_M_156=¡{0x0101,0x0000} ha usado Descanso!
ATKMSG_Y_156=¡El {0x0101,0x0000} salvaje ha usado Descanso!
ATKMSG_E_156=¡El {0x0101,0x0000} enemigo ha usado Descanso!
ATKMSG_N_156=¡El {0x0101,0x0000} dominante ha usado Descanso!
ATKMSG_M_157=¡{0x0101,0x0000} ha usado Avalancha!
ATKMSG_Y_157=¡El {0x0101,0x0000} salvaje ha usado Avalancha!
ATKMSG_E_157=¡El {0x0101,0x0000} enemigo ha usado Avalancha!
ATKMSG_N_157=¡El {0x0101,0x0000} dominante ha usado Avalancha!
ATKMSG_M_158=¡{0x0101,0x0000} ha usado Hipercolmillo!
ATKMSG_Y_158=¡El {0x0101,0x0000} salvaje ha usado Hipercolmillo!
ATKMSG_E_158=¡El {0x0101,0x0000} enemigo ha usado Hipercolmillo!
ATKMSG_N_158=¡El {0x0101,0x0000} dominante ha usado Hipercolmillo!
ATKMSG_M_159=¡{0x0101,0x0000} ha usado Afilar!
ATKMSG_Y_159=¡El {0x0101,0x0000} salvaje ha usado Afilar!
ATKMSG_E_159=¡El {0x0101,0x0000} enemigo ha usado Afilar!
ATKMSG_N_159=¡El {0x0101,0x0000} dominante ha usado Afilar!
ATKMSG_M_160=¡{0x0101,0x0000} ha usado Conversión!
ATKMSG_Y_160=¡El {0x0101,0x0000} salvaje ha usado Conversión!
ATKMSG_E_160=¡El {0x0101,0x0000} enemigo ha usado Conversión!
ATKMSG_N_160=¡El {0x0101,0x0000} dominante ha usado Conversión!
ATKMSG_M_161=¡{0x0101,0x0000} ha usado Triataque!
ATKMSG_Y_161=¡El {0x0101,0x0000} salvaje ha usado Triataque!
ATKMSG_E_161=¡El {0x0101,0x0000} enemigo ha usado Triataque!
ATKMSG_N_161=¡El {0x0101,0x0000} dominante ha usado Triataque!
ATKMSG_M_162=¡{0x0101,0x0000} ha usado Superdiente!
ATKMSG_Y_162=¡El {0x0101,0x0000} salvaje ha usado Superdiente!
ATKMSG_E_162=¡El {0x0101,0x0000} enemigo ha usado Superdiente!
ATKMSG_N_162=¡El {0x0101,0x0000} dominante ha usado Superdiente!
ATKMSG_M_163=¡{0x0101,0x0000} ha usado Cuchillada!
ATKMSG_Y_163=¡El {0x0101,0x0000} salvaje ha usado Cuchillada!
ATKMSG_E_163=¡El {0x0101,0x0000} enemigo ha usado Cuchillada!
ATKMSG_N_163=¡El {0x0101,0x0000} dominante ha usado Cuchillada!
ATKMSG_M_164=¡{0x0101,0x0000} ha usado Sustituto!
ATKMSG_Y_164=¡El {0x0101,0x0000} salvaje ha usado Sustituto!
ATKMSG_E_164=¡El {0x0101,0x0000} enemigo ha usado Sustituto!
ATKMSG_N_164=¡El {0x0101,0x0000} dominante ha usado Sustituto!
ATKMSG_M_165=¡{0x0101,0x0000} ha usado Forcejeo!
ATKMSG_Y_165=¡El {0x0101,0x0000} salvaje ha usado Forcejeo!
ATKMSG_E_165=¡El {0x0101,0x0000} enemigo ha usado Forcejeo!
ATKMSG_N_165=¡El {0x0101,0x0000} dominante ha usado Forcejeo!
ATKMSG_M_166=¡{0x0101,0x0000} ha usado Esquema!
ATKMSG_Y_166=¡El {0x0101,0x0000} salvaje ha usado Esquema!
ATKMSG_E_166=¡El {0x0101,0x0000} enemigo ha usado Esquema!
ATKMSG_N_166=¡El {0x0101,0x0000} dominante ha usado Esquema!
ATKMSG_M_167=¡{0x0101,0x0000} ha usado Triple Patada!
ATKMSG_Y_167=¡El {0x0101,0x0000} salvaje ha usado Triple Patada!
ATKMSG_E_167=¡El {0x0101,0x0000} enemigo ha usado Triple Patada!
ATKMSG_N_167=¡El {0x0101,0x0000} dominante ha usado Triple Patada!
ATKMSG_M_168=¡{0x0101,0x0000} ha usado Ladrón!
ATKMSG_Y_168=¡El {0x0101,0x0000} salvaje ha usado Ladrón!
ATKMSG_E_168=¡El {0x0101,0x0000} enemigo ha usado Ladrón!
ATKMSG_N_168=¡El {0x0101,0x0000} dominante ha usado Ladrón!
ATKMSG_M_169=¡{0x0101,0x0000} ha usado Telaraña!
ATKMSG_Y_169=¡El {0x0101,0x0000} salvaje ha usado Telaraña!
ATKMSG_E_169=¡El {0x0101,0x0000} enemigo ha usado Telaraña!
ATKMSG_N_169=¡El {0x0101,0x0000} dominante ha usado Telaraña!
ATKMSG_M_170=¡{0x0101,0x0000} ha usado Telépata!
ATKMSG_Y_170=¡El {0x0101,0x0000} salvaje ha usado Telépata!
ATKMSG_E_170=¡El {0x0101,0x0000} enemigo ha usado Telépata!
ATKMSG_N_170=¡El {0x0101,0x0000} dominante ha usado Telépata!
ATKMSG_M_171=¡{0x0101,0x0000} ha usado Pesadilla!
ATKMSG_Y_171=¡El {0x0101,0x0000} salvaje ha usado Pesadilla!
ATKMSG_E_171=¡El {0x0101,0x0000} enemigo ha usado Pesadilla!
ATKMSG_N_171=¡El {0x0101,0x0000} dominante ha usado Pesadilla!
ATKMSG_M_172=¡{0x0101,0x0000} ha usado Rueda Fuego!
ATKMSG_Y_172=¡El {0x0101,0x0000} salvaje ha usado Rueda Fuego!
ATKMSG_E_172=¡El {0x0101,0x0000} enemigo ha usado Rueda Fuego!
ATKMSG_N_172=¡El {0x0101,0x0000} dominante ha usado Rueda Fuego!
ATKMSG_M_173=¡{0x0101,0x0000} ha usado Ronquido!
ATKMSG_Y_173=¡El {0x0101,0x0000} salvaje ha usado Ronquido!
ATKMSG_E_173=¡El {0x0101,0x0000} enemigo ha usado Ronquido!
ATKMSG_N_173=¡El {0x0101,0x0000} dominante ha usado Ronquido!
ATKMSG_M_174=¡{0x0101,0x0000} ha usado Maldición!
ATKMSG_Y_174=¡El {0x0101,0x0000} salvaje ha usado Maldición!
ATKMSG_E_174=¡El {0x0101,0x0000} enemigo ha usado Maldición!
ATKMSG_N_174=¡El {0x0101,0x0000} dominante ha usado Maldición!
ATKMSG_M_175=¡{0x0101,0x0000} ha usado Azote!
ATKMSG_Y_175=¡El {0x0101,0x0000} salvaje ha usado Azote!
ATKMSG_E_175=¡El {0x0101,0x0000} enemigo ha usado Azote!
ATKMSG_N_175=¡El {0x0101,0x0000} dominante ha usado Azote!
ATKMSG_M_176=¡{0x0101,0x0000} ha usado Conversión2!
ATKMSG_Y_176=¡El {0x0101,0x0000} salvaje ha usado Conversión2!
