ZKN_HEIGHT_000_000=???,? m
ZKN_HEIGHT_635_000=1,8 m
ZKN_HEIGHT_636_000=1,1 m
ZKN_HEIGHT_637_000=1,6 m
ZKN_HEIGHT_638_000=2,1 m
ZKN_HEIGHT_639_000=1,9 m
ZKN_HEIGHT_640_000=2,0 m
ZKN_HEIGHT_641_000=1,5 m
ZKN_HEIGHT_642_000=1,5 m
ZKN_HEIGHT_643_000=3,2 m
ZKN_HEIGHT_644_000=2,9 m
ZKN_HEIGHT_645_000=1,5 m
ZKN_HEIGHT_646_000=3,0 m
ZKN_HEIGHT_647_000=1,4 m
ZKN_HEIGHT_648_000=0,6 m
ZKN_HEIGHT_649_000=1,5 m
ZKN_HEIGHT_650_000=0,4 m
ZKN_HEIGHT_651_000=0,7 m
ZKN_HEIGHT_652_000=1,6 m
ZKN_HEIGHT_653_000=0,4 m
ZKN_HEIGHT_654_000=1,0 m
ZKN_HEIGHT_655_000=1,5 m
ZKN_HEIGHT_656_000=0,3 m
ZKN_HEIGHT_657_000=0,6 m
ZKN_HEIGHT_658_000=1,5 m
ZKN_HEIGHT_659_000=0,4 m
ZKN_HEIGHT_660_000=1,0 m
ZKN_HEIGHT_661_000=0,3 m
ZKN_HEIGHT_662_000=0,7 m
ZKN_HEIGHT_663_000=1,2 m
ZKN_HEIGHT_664_000=0,3 m
ZKN_HEIGHT_665_000=0,3 m
ZKN_HEIGHT_666_000=1,2 m
ZKN_HEIGHT_667_000=0,6 m
ZKN_HEIGHT_668_000=1,5 m
ZKN_HEIGHT_669_000=0,1 m
ZKN_HEIGHT_670_000=0,2 m
ZKN_HEIGHT_671_000=1,1 m
ZKN_HEIGHT_672_000=0,9 m
ZKN_HEIGHT_673_000=1,7 m
ZKN_HEIGHT_674_000=0,6 m
ZKN_HEIGHT_675_000=2,1 m
ZKN_HEIGHT_676_000=1,2 m
ZKN_HEIGHT_677_000=0,3 m
ZKN_HEIGHT_678_000=0,6 m
ZKN_HEIGHT_679_000=0,8 m
ZKN_HEIGHT_680_000=0,8 m
ZKN_HEIGHT_681_000=1,7 m
ZKN_HEIGHT_682_000=0,2 m
ZKN_HEIGHT_683_000=0,8 m
ZKN_HEIGHT_684_000=0,4 m
ZKN_HEIGHT_685_000=0,8 m
ZKN_HEIGHT_686_000=0,4 m
ZKN_HEIGHT_687_000=1,5 m
ZKN_HEIGHT_688_000=0,5 m
ZKN_HEIGHT_689_000=1,3 m
ZKN_HEIGHT_690_000=0,5 m
ZKN_HEIGHT_691_000=1,8 m
ZKN_HEIGHT_692_000=0,5 m
ZKN_HEIGHT_693_000=1,3 m
ZKN_HEIGHT_694_000=0,5 m
ZKN_HEIGHT_695_000=1,0 m
ZKN_HEIGHT_696_000=0,8 m
ZKN_HEIGHT_697_000=2,5 m
ZKN_HEIGHT_698_000=1,3 m
ZKN_HEIGHT_699_000=2,7 m
ZKN_HEIGHT_700_000=1,0 m
ZKN_HEIGHT_701_000=0,8 m
ZKN_HEIGHT_702_000=0,2 m
ZKN_HEIGHT_703_000=0,3 m
ZKN_HEIGHT_704_000=0,3 m
ZKN_HEIGHT_705_000=0,8 m
ZKN_HEIGHT_706_000=2,0 m
ZKN_HEIGHT_707_000=0,2 m
ZKN_HEIGHT_708_000=0,4 m
ZKN_HEIGHT_709_000=1,5 m
ZKN_HEIGHT_710_000=0,4 m
ZKN_HEIGHT_711_000=0,9 m
ZKN_HEIGHT_712_000=1,0 m
ZKN_HEIGHT_713_000=2,0 m
ZKN_HEIGHT_714_000=0,5 m
ZKN_HEIGHT_715_000=1,5 m
ZKN_HEIGHT_716_000=3,0 m
ZKN_HEIGHT_717_000=5,8 m
ZKN_HEIGHT_718_000=5,0 m
ZKN_HEIGHT_719_000=0,7 m
ZKN_HEIGHT_720_000=0,5 m
ZKN_HEIGHT_721_000=1,7 m
ZKN_HEIGHT_722_000=0,3 m
ZKN_HEIGHT_723_000=0,7 m
ZKN_HEIGHT_724_000=1,6 m
ZKN_HEIGHT_725_000=0,4 m
ZKN_HEIGHT_726_000=0,7 m
ZKN_HEIGHT_727_000=1,8 m
ZKN_HEIGHT_728_000=0,4 m
ZKN_HEIGHT_729_000=0,6 m
ZKN_HEIGHT_730_000=1,8 m
ZKN_HEIGHT_731_000=0,3 m
ZKN_HEIGHT_732_000=0,6 m
ZKN_HEIGHT_733_000=1,1 m
ZKN_HEIGHT_734_000=0,4 m
ZKN_HEIGHT_735_000=0,7 m
ZKN_HEIGHT_736_000=0,4 m
ZKN_HEIGHT_737_000=0,5 m
ZKN_HEIGHT_738_000=1,5 m
ZKN_HEIGHT_739_000=0,6 m
ZKN_HEIGHT_740_000=1,7 m
ZKN_HEIGHT_741_000=0,6 m
ZKN_HEIGHT_742_000=0,1 m
ZKN_HEIGHT_743_000=0,2 m
ZKN_HEIGHT_744_000=0,5 m
ZKN_HEIGHT_745_000=0,8 m
ZKN_HEIGHT_746_000=0,2 m
ZKN_HEIGHT_747_000=0,4 m
ZKN_HEIGHT_748_000=0,7 m
ZKN_HEIGHT_749_000=1,0 m
ZKN_HEIGHT_750_000=2,5 m
ZKN_HEIGHT_751_000=0,3 m
ZKN_HEIGHT_752_000=1,8 m
ZKN_HEIGHT_753_000=0,3 m
ZKN_HEIGHT_754_000=0,9 m
ZKN_HEIGHT_755_000=0,2 m
ZKN_HEIGHT_756_000=1,0 m
ZKN_HEIGHT_757_000=0,6 m
ZKN_HEIGHT_758_000=1,2 m
ZKN_HEIGHT_759_000=0,5 m
ZKN_HEIGHT_760_000=2,1 m
ZKN_HEIGHT_761_000=0,3 m
ZKN_HEIGHT_762_000=0,7 m
ZKN_HEIGHT_763_000=1,2 m
ZKN_HEIGHT_764_000=0,1 m
ZKN_HEIGHT_765_000=1,5 m
ZKN_HEIGHT_766_000=2,0 m
ZKN_HEIGHT_767_000=0,5 m
ZKN_HEIGHT_768_000=2,0 m
ZKN_HEIGHT_769_000=0,5 m
ZKN_HEIGHT_770_000=1,3 m
ZKN_HEIGHT_771_000=0,3 m
ZKN_HEIGHT_772_000=1,9 m
ZKN_HEIGHT_773_000=2,3 m
ZKN_HEIGHT_774_000=0,3 m
ZKN_HEIGHT_775_000=0,4 m
ZKN_HEIGHT_776_000=2,0 m
ZKN_HEIGHT_777_000=0,3 m
ZKN_HEIGHT_778_000=0,2 m
ZKN_HEIGHT_779_000=0,9 m
ZKN_HEIGHT_780_000=3,0 m
ZKN_HEIGHT_781_000=3,9 m
ZKN_HEIGHT_782_000=0,6 m
ZKN_HEIGHT_783_000=1,2 m
ZKN_HEIGHT_784_000=1,6 m
ZKN_HEIGHT_785_000=1,8 m
ZKN_HEIGHT_786_000=1,2 m
ZKN_HEIGHT_787_000=1,9 m
ZKN_HEIGHT_788_000=1,3 m
ZKN_HEIGHT_789_000=0,2 m
ZKN_HEIGHT_790_000=0,1 m
ZKN_HEIGHT_791_000=3,4 m
ZKN_HEIGHT_792_000=4,0 m
ZKN_HEIGHT_793_000=1,2 m
ZKN_HEIGHT_794_000=2,4 m
ZKN_HEIGHT_795_000=1,8 m
ZKN_HEIGHT_796_000=3,8 m
ZKN_HEIGHT_797_000=9,2 m
ZKN_HEIGHT_798_000=0,3 m
ZKN_HEIGHT_799_000=5,5 m
ZKN_HEIGHT_800_000=2,4 m
ZKN_HEIGHT_801_000=1,0 m
ZKN_HEIGHT_802_000=0,7 m
ZKN_HEIGHT_803_000=0,6 m
ZKN_HEIGHT_804_000=3,6 m
ZKN_HEIGHT_805_000=5,5 m
ZKN_HEIGHT_806_000=1,8 m
ZKN_HEIGHT_807_000=1,5 m
ZKN_HEIGHT_808_000=0,2 m
ZKN_HEIGHT_809_000=2,5 m
ZKN_HEIGHT_810_000=0,3 m
ZKN_HEIGHT_811_000=0,7 m
ZKN_HEIGHT_812_000=2,1 m
ZKN_HEIGHT_813_000=0,3 m
ZKN_HEIGHT_814_000=0,6 m
ZKN_HEIGHT_815_000=1,4 m
ZKN_HEIGHT_816_000=0,3 m
ZKN_HEIGHT_817_000=0,7 m
ZKN_HEIGHT_818_000=1,9 m
ZKN_HEIGHT_819_000=0,3 m
ZKN_HEIGHT_820_000=0,6 m
ZKN_HEIGHT_821_000=0,2 m
ZKN_HEIGHT_822_000=0,8 m
ZKN_HEIGHT_823_000=2,2 m
ZKN_HEIGHT_824_000=0,4 m
ZKN_HEIGHT_825_000=0,4 m
ZKN_HEIGHT_826_000=0,4 m
ZKN_HEIGHT_827_000=0,6 m
ZKN_HEIGHT_828_000=1,2 m
ZKN_HEIGHT_829_000=0,4 m
ZKN_HEIGHT_830_000=0,5 m
ZKN_HEIGHT_831_000=0,6 m
ZKN_HEIGHT_832_000=1,3 m
ZKN_HEIGHT_833_000=0,3 m
ZKN_HEIGHT_834_000=1,0 m
ZKN_HEIGHT_835_000=0,3 m
ZKN_HEIGHT_836_000=1,0 m
ZKN_HEIGHT_837_000=0,3 m
ZKN_HEIGHT_838_000=1,1 m
ZKN_HEIGHT_839_000=2,8 m
ZKN_HEIGHT_840_000=0,2 m
ZKN_HEIGHT_841_000=0,3 m
ZKN_HEIGHT_842_000=0,4 m
ZKN_HEIGHT_843_000=2,2 m
ZKN_HEIGHT_844_000=3,8 m
ZKN_HEIGHT_845_000=0,8 m
ZKN_HEIGHT_846_000=0,5 m
ZKN_HEIGHT_847_000=1,3 m
ZKN_HEIGHT_848_000=0,4 m
ZKN_HEIGHT_849_000=1,6 m
ZKN_HEIGHT_850_000=0,7 m
ZKN_HEIGHT_851_000=3,0 m
ZKN_HEIGHT_852_000=0,6 m
ZKN_HEIGHT_853_000=1,6 m
ZKN_HEIGHT_854_000=0,1 m
ZKN_HEIGHT_855_000=0,2 m
ZKN_HEIGHT_856_000=0,4 m
ZKN_HEIGHT_857_000=0,6 m
ZKN_HEIGHT_858_000=2,1 m
ZKN_HEIGHT_859_000=0,4 m
ZKN_HEIGHT_860_000=0,8 m
ZKN_HEIGHT_861_000=1,5 m
ZKN_HEIGHT_862_000=1,6 m
ZKN_HEIGHT_863_000=0,8 m
ZKN_HEIGHT_864_000=1,0 m
ZKN_HEIGHT_865_000=0,8 m
ZKN_HEIGHT_866_000=1,5 m
ZKN_HEIGHT_867_000=1,6 m
ZKN_HEIGHT_868_000=0,2 m
ZKN_HEIGHT_869_000=0,3 m
ZKN_HEIGHT_870_000=3,0 m
ZKN_HEIGHT_871_000=0,3 m
ZKN_HEIGHT_872_000=0,3 m
ZKN_HEIGHT_873_000=1,3 m
ZKN_HEIGHT_874_000=2,5 m
ZKN_HEIGHT_875_000=1,4 m
ZKN_HEIGHT_876_000=0,9 m
ZKN_HEIGHT_877_000=0,3 m
ZKN_HEIGHT_878_000=1,2 m
ZKN_HEIGHT_879_000=3,0 m
ZKN_HEIGHT_880_000=1,8 m
ZKN_HEIGHT_881_000=2,3 m
ZKN_HEIGHT_882_000=2,3 m
ZKN_HEIGHT_883_000=2,0 m
ZKN_HEIGHT_884_000=1,8 m
ZKN_HEIGHT_885_000=0,5 m
ZKN_HEIGHT_886_000=1,4 m
ZKN_HEIGHT_887_000=3,0 m
ZKN_HEIGHT_888_000=2,8 m
ZKN_HEIGHT_889_000=2,9 m
ZKN_HEIGHT_890_000=20,0 m
ZKN_HEIGHT_003_001=2,4 m
ZKN_HEIGHT_006_001=1,7 m
ZKN_HEIGHT_006_002=1,7 m
ZKN_HEIGHT_006_999=>28,0 m
ZKN_HEIGHT_009_001=1,6 m
ZKN_HEIGHT_012_999=>17,0 m
ZKN_HEIGHT_015_001=1,4 m
ZKN_HEIGHT_018_001=2,2 m
ZKN_HEIGHT_019_001=0,3 m
ZKN_HEIGHT_020_001=0,7 m
ZKN_HEIGHT_020_002=0,7 m
ZKN_HEIGHT_025_001=0,4 m
ZKN_HEIGHT_025_002=0,4 m
ZKN_HEIGHT_025_003=0,4 m
ZKN_HEIGHT_025_004=0,4 m
ZKN_HEIGHT_025_005=0,4 m
ZKN_HEIGHT_025_006=0,4 m
ZKN_HEIGHT_025_007=0,4 m
ZKN_HEIGHT_025_008=
ZKN_HEIGHT_025_999=>21,0 m
ZKN_HEIGHT_026_001=0,7 m
ZKN_HEIGHT_027_001=0,7 m
ZKN_HEIGHT_028_001=1,2 m
ZKN_HEIGHT_037_001=0,6 m
ZKN_HEIGHT_038_001=1,1 m
ZKN_HEIGHT_050_001=0,2 m
ZKN_HEIGHT_051_001=0,7 m
ZKN_HEIGHT_052_001=0,4 m
ZKN_HEIGHT_052_002=0,4 m
ZKN_HEIGHT_052_999=>33,0 m
ZKN_HEIGHT_053_001=1,1 m
ZKN_HEIGHT_065_001=1,2 m
ZKN_HEIGHT_068_999=>25,0 m
ZKN_HEIGHT_074_001=0,4 m
ZKN_HEIGHT_075_001=1,0 m
ZKN_HEIGHT_076_001=1,7 m
ZKN_HEIGHT_077_001=0,8 m
ZKN_HEIGHT_078_001=1,7 m
ZKN_HEIGHT_080_001=2,0 m
ZKN_HEIGHT_083_001=0,8 m
ZKN_HEIGHT_088_001=0,7 m
ZKN_HEIGHT_089_001=1,0 m
ZKN_HEIGHT_094_001=1,4 m
ZKN_HEIGHT_094_999=>20,0 m
ZKN_HEIGHT_099_999=>19,0 m
ZKN_HEIGHT_103_001=10,9 m
ZKN_HEIGHT_105_001=1,0 m
ZKN_HEIGHT_105_002=1,0 m
ZKN_HEIGHT_110_001=3,0 m
ZKN_HEIGHT_115_001=2,2 m
ZKN_HEIGHT_122_001=1,4 m
ZKN_HEIGHT_127_001=1,7 m
ZKN_HEIGHT_130_001=6,5 m
ZKN_HEIGHT_131_999=>24,0 m
ZKN_HEIGHT_133_001=
ZKN_HEIGHT_133_999=>18,0 m
ZKN_HEIGHT_142_001=2,1 m
ZKN_HEIGHT_143_999=>35,0 m
ZKN_HEIGHT_150_001=2,3 m
ZKN_HEIGHT_150_002=1,5 m
ZKN_HEIGHT_181_001=1,4 m
ZKN_HEIGHT_201_001=0,5 m
ZKN_HEIGHT_201_002=0,5 m
ZKN_HEIGHT_201_003=0,5 m
ZKN_HEIGHT_201_004=0,5 m
ZKN_HEIGHT_201_005=0,5 m
ZKN_HEIGHT_201_006=0,5 m
ZKN_HEIGHT_201_007=0,5 m
ZKN_HEIGHT_201_008=0,5 m
ZKN_HEIGHT_201_009=0,5 m
ZKN_HEIGHT_201_010=0,5 m
ZKN_HEIGHT_201_011=0,5 m
ZKN_HEIGHT_201_012=0,5 m
ZKN_HEIGHT_201_013=0,5 m
ZKN_HEIGHT_201_014=0,5 m
ZKN_HEIGHT_201_015=0,5 m
ZKN_HEIGHT_201_016=0,5 m
ZKN_HEIGHT_201_017=0,5 m
ZKN_HEIGHT_201_018=0,5 m
ZKN_HEIGHT_201_019=0,5 m
ZKN_HEIGHT_201_020=0,5 m
ZKN_HEIGHT_201_021=0,5 m
ZKN_HEIGHT_201_022=0,5 m
ZKN_HEIGHT_201_023=0,5 m
ZKN_HEIGHT_201_024=0,5 m
ZKN_HEIGHT_201_025=0,5 m
ZKN_HEIGHT_201_026=0,5 m
ZKN_HEIGHT_201_027=0,5 m
ZKN_HEIGHT_208_001=10,5 m
ZKN_HEIGHT_212_001=2,0 m
ZKN_HEIGHT_214_001=1,7 m
ZKN_HEIGHT_222_001=0,6 m
ZKN_HEIGHT_229_001=1,9 m
ZKN_HEIGHT_248_001=2,5 m
ZKN_HEIGHT_254_001=1,9 m
ZKN_HEIGHT_257_001=1,9 m
ZKN_HEIGHT_260_001=1,9 m
ZKN_HEIGHT_263_001=0,4 m
ZKN_HEIGHT_264_001=0,5 m
ZKN_HEIGHT_282_001=1,6 m
ZKN_HEIGHT_302_001=0,5 m
ZKN_HEIGHT_303_001=1,0 m
ZKN_HEIGHT_306_001=2,2 m
ZKN_HEIGHT_308_001=1,3 m
ZKN_HEIGHT_310_001=1,8 m
ZKN_HEIGHT_319_001=2,5 m
ZKN_HEIGHT_323_001=2,5 m
ZKN_HEIGHT_334_001=1,5 m
ZKN_HEIGHT_351_001=0,3 m
ZKN_HEIGHT_351_002=0,3 m
ZKN_HEIGHT_351_003=0,3 m
ZKN_HEIGHT_354_001=1,2 m
ZKN_HEIGHT_359_001=1,2 m
ZKN_HEIGHT_362_001=2,1 m
ZKN_HEIGHT_373_001=1,8 m
ZKN_HEIGHT_376_001=2,5 m
ZKN_HEIGHT_380_001=1,8 m
ZKN_HEIGHT_381_001=2,3 m
ZKN_HEIGHT_382_001=9,8 m
ZKN_HEIGHT_383_001=5,0 m
ZKN_HEIGHT_384_001=10,8 m
ZKN_HEIGHT_386_001=1,7 m
ZKN_HEIGHT_386_002=1,7 m
ZKN_HEIGHT_386_003=1,7 m
ZKN_HEIGHT_412_001=0,2 m
ZKN_HEIGHT_412_002=0,2 m
ZKN_HEIGHT_413_001=0,5 m
ZKN_HEIGHT_413_002=0,5 m
ZKN_HEIGHT_414_001=
ZKN_HEIGHT_414_002=
ZKN_HEIGHT_421_001=0,5 m
ZKN_HEIGHT_422_001=0,3 m
ZKN_HEIGHT_423_001=0,9 m
ZKN_HEIGHT_428_001=1,3 m
ZKN_HEIGHT_445_001=1,9 m
ZKN_HEIGHT_448_001=1,3 m
ZKN_HEIGHT_460_001=2,7 m
ZKN_HEIGHT_475_001=1,6 m
ZKN_HEIGHT_479_001=0,3 m
ZKN_HEIGHT_479_002=0,3 m
ZKN_HEIGHT_479_003=0,3 m
ZKN_HEIGHT_479_004=0,3 m
ZKN_HEIGHT_479_005=0,3 m
ZKN_HEIGHT_487_001=6,9 m
ZKN_HEIGHT_492_001=0,4 m
ZKN_HEIGHT_493_001=3,2 m
ZKN_HEIGHT_493_002=3,2 m
ZKN_HEIGHT_493_003=3,2 m
ZKN_HEIGHT_493_004=3,2 m
ZKN_HEIGHT_493_005=3,2 m
ZKN_HEIGHT_493_006=3,2 m
ZKN_HEIGHT_493_007=3,2 m
ZKN_HEIGHT_493_008=3,2 m
ZKN_HEIGHT_493_009=3,2 m
ZKN_HEIGHT_493_010=3,2 m
ZKN_HEIGHT_493_011=3,2 m
ZKN_HEIGHT_493_012=3,2 m
ZKN_HEIGHT_493_013=3,2 m
ZKN_HEIGHT_493_014=3,2 m
ZKN_HEIGHT_493_015=3,2 m
ZKN_HEIGHT_493_016=3,2 m
ZKN_HEIGHT_493_017=3,2 m
ZKN_HEIGHT_521_001=1,2 m
ZKN_HEIGHT_531_001=1,5 m
ZKN_HEIGHT_550_001=1,0 m
ZKN_HEIGHT_554_001=0,7 m
ZKN_HEIGHT_555_001=1,3 m
ZKN_HEIGHT_555_002=1,7 m
ZKN_HEIGHT_555_003=1,7 m
ZKN_HEIGHT_562_001=0,5 m
ZKN_HEIGHT_569_999=>21,0 m
ZKN_HEIGHT_585_001=0,6 m
ZKN_HEIGHT_585_002=0,6 m
ZKN_HEIGHT_585_003=0,6 m
ZKN_HEIGHT_586_001=1,9 m
ZKN_HEIGHT_586_002=1,9 m
ZKN_HEIGHT_586_003=1,9 m
ZKN_HEIGHT_592_001=1,2 m
ZKN_HEIGHT_593_001=2,2 m
ZKN_HEIGHT_618_001=0,7 m
ZKN_HEIGHT_641_001=1,4 m
ZKN_HEIGHT_642_001=3,0 m
ZKN_HEIGHT_645_001=1,3 m
ZKN_HEIGHT_646_001=3,6 m
ZKN_HEIGHT_646_002=3,3 m
ZKN_HEIGHT_647_001=1,4 m
ZKN_HEIGHT_648_001=0,6 m
ZKN_HEIGHT_649_001=1,5 m
ZKN_HEIGHT_649_002=1,5 m
ZKN_HEIGHT_649_003=1,5 m
ZKN_HEIGHT_649_004=1,5 m
ZKN_HEIGHT_658_001=1,5 m
ZKN_HEIGHT_658_002=1,5 m
ZKN_HEIGHT_664_001=
ZKN_HEIGHT_664_002=
ZKN_HEIGHT_664_003=
ZKN_HEIGHT_664_004=
ZKN_HEIGHT_664_005=
ZKN_HEIGHT_664_006=
ZKN_HEIGHT_664_007=
ZKN_HEIGHT_664_008=
ZKN_HEIGHT_664_009=
ZKN_HEIGHT_664_010=
ZKN_HEIGHT_664_011=
ZKN_HEIGHT_664_012=
ZKN_HEIGHT_664_013=
ZKN_HEIGHT_664_014=
ZKN_HEIGHT_664_015=
ZKN_HEIGHT_664_016=
ZKN_HEIGHT_664_017=
ZKN_HEIGHT_664_018=
ZKN_HEIGHT_664_019=
ZKN_HEIGHT_665_001=
ZKN_HEIGHT_665_002=
ZKN_HEIGHT_665_003=
ZKN_HEIGHT_665_004=
ZKN_HEIGHT_665_005=
ZKN_HEIGHT_665_006=
ZKN_HEIGHT_665_007=
ZKN_HEIGHT_665_008=
ZKN_HEIGHT_665_009=
ZKN_HEIGHT_665_010=
ZKN_HEIGHT_665_011=
ZKN_HEIGHT_665_012=
ZKN_HEIGHT_665_013=
ZKN_HEIGHT_665_014=
ZKN_HEIGHT_665_015=
ZKN_HEIGHT_665_016=
ZKN_HEIGHT_665_017=
ZKN_HEIGHT_665_018=
ZKN_HEIGHT_665_019=
ZKN_HEIGHT_666_001=1,2 m
ZKN_HEIGHT_666_002=1,2 m
ZKN_HEIGHT_666_003=1,2 m
ZKN_HEIGHT_666_004=1,2 m
ZKN_HEIGHT_666_005=1,2 m
ZKN_HEIGHT_666_006=1,2 m
ZKN_HEIGHT_666_007=1,2 m
ZKN_HEIGHT_666_008=1,2 m
ZKN_HEIGHT_666_009=1,2 m
ZKN_HEIGHT_666_010=1,2 m
ZKN_HEIGHT_666_011=1,2 m
ZKN_HEIGHT_666_012=1,2 m
ZKN_HEIGHT_666_013=1,2 m
ZKN_HEIGHT_666_014=1,2 m
ZKN_HEIGHT_666_015=1,2 m
ZKN_HEIGHT_666_016=1,2 m
ZKN_HEIGHT_666_017=1,2 m
ZKN_HEIGHT_666_018=1,2 m
ZKN_HEIGHT_666_019=1,2 m
ZKN_HEIGHT_669_001=0,1 m
ZKN_HEIGHT_669_002=0,1 m
ZKN_HEIGHT_669_003=0,1 m
ZKN_HEIGHT_669_004=0,1 m
ZKN_HEIGHT_670_001=0,2 m
ZKN_HEIGHT_670_002=0,2 m
ZKN_HEIGHT_670_003=0,2 m
ZKN_HEIGHT_670_004=0,2 m
ZKN_HEIGHT_670_005=0,2 m
ZKN_HEIGHT_671_001=1,1 m
ZKN_HEIGHT_671_002=1,1 m
ZKN_HEIGHT_671_003=1,1 m
ZKN_HEIGHT_671_004=1,1 m
ZKN_HEIGHT_676_001=1,2 m
ZKN_HEIGHT_676_002=1,2 m
ZKN_HEIGHT_676_003=1,2 m
ZKN_HEIGHT_676_004=1,2 m
ZKN_HEIGHT_676_005=1,2 m
ZKN_HEIGHT_676_006=1,2 m
ZKN_HEIGHT_676_007=1,2 m
ZKN_HEIGHT_676_008=1,2 m
ZKN_HEIGHT_676_009=1,2 m
ZKN_HEIGHT_678_001=0,6 m
ZKN_HEIGHT_681_001=1,7 m
ZKN_HEIGHT_710_001=0,3 m
ZKN_HEIGHT_710_002=0,5 m
ZKN_HEIGHT_710_003=0,8 m
ZKN_HEIGHT_711_001=0,7 m
ZKN_HEIGHT_711_002=1,1 m
ZKN_HEIGHT_711_003=1,7 m
ZKN_HEIGHT_716_001=3,0 m
ZKN_HEIGHT_718_001=1,2 m
ZKN_HEIGHT_718_002=1,2 m
ZKN_HEIGHT_718_003=5,0 m
ZKN_HEIGHT_718_004=4,5 m
ZKN_HEIGHT_719_001=1,1 m
ZKN_HEIGHT_720_001=6,5 m
ZKN_HEIGHT_735_001=0,7 m
ZKN_HEIGHT_738_001=1,5 m
ZKN_HEIGHT_741_001=0,6 m
ZKN_HEIGHT_741_002=0,6 m
ZKN_HEIGHT_741_003=0,6 m
ZKN_HEIGHT_743_001=
ZKN_HEIGHT_744_001=
ZKN_HEIGHT_745_001=1,1 m
ZKN_HEIGHT_745_002=0,8 m
ZKN_HEIGHT_746_001=8,2 m
ZKN_HEIGHT_752_001=
ZKN_HEIGHT_754_001=0,9 m
ZKN_HEIGHT_758_001=1,2 m
ZKN_HEIGHT_773_001=2,3 m
ZKN_HEIGHT_773_002=2,3 m
ZKN_HEIGHT_773_003=2,3 m
ZKN_HEIGHT_773_004=2,3 m
ZKN_HEIGHT_773_005=2,3 m
ZKN_HEIGHT_773_006=2,3 m
ZKN_HEIGHT_773_007=2,3 m
ZKN_HEIGHT_773_008=2,3 m
ZKN_HEIGHT_773_009=2,3 m
ZKN_HEIGHT_773_010=2,3 m
ZKN_HEIGHT_773_011=2,3 m
ZKN_HEIGHT_773_012=2,3 m
ZKN_HEIGHT_773_013=2,3 m
ZKN_HEIGHT_773_014=2,3 m
ZKN_HEIGHT_773_015=2,3 m
ZKN_HEIGHT_773_016=2,3 m
ZKN_HEIGHT_773_017=2,3 m
ZKN_HEIGHT_774_001=0,3 m
ZKN_HEIGHT_774_002=0,3 m
ZKN_HEIGHT_774_003=0,3 m
ZKN_HEIGHT_774_004=0,3 m
ZKN_HEIGHT_774_005=0,3 m
ZKN_HEIGHT_774_006=0,3 m
ZKN_HEIGHT_774_007=0,3 m
ZKN_HEIGHT_774_008=0,3 m
ZKN_HEIGHT_774_009=0,3 m
ZKN_HEIGHT_774_010=0,3 m
ZKN_HEIGHT_774_011=0,3 m
ZKN_HEIGHT_774_012=0,3 m
ZKN_HEIGHT_774_013=0,3 m
ZKN_HEIGHT_777_001=
ZKN_HEIGHT_778_001=0,2 m
ZKN_HEIGHT_778_002=0,2 m
ZKN_HEIGHT_778_003=0,2 m
ZKN_HEIGHT_784_001=1,6 m
ZKN_HEIGHT_800_001=3,8 m
ZKN_HEIGHT_800_002=4,2 m
ZKN_HEIGHT_800_003=7,5 m
ZKN_HEIGHT_801_001=1,0 m
ZKN_HEIGHT_809_999=>25,0 m
ZKN_HEIGHT_823_999=>14,0 m
ZKN_HEIGHT_826_999=>14,0 m
ZKN_HEIGHT_834_999=>24,0 m
ZKN_HEIGHT_839_999=>42,0 m
ZKN_HEIGHT_841_999=>24,0 m
ZKN_HEIGHT_842_999=>24,0 m
ZKN_HEIGHT_844_999=>22,0 m
ZKN_HEIGHT_845_001=0,8 m
ZKN_HEIGHT_845_002=0,8 m
ZKN_HEIGHT_849_001=1,6 m
ZKN_HEIGHT_849_999=>24,0 m
ZKN_HEIGHT_851_999=>75,0 m
ZKN_HEIGHT_854_001=0,1 m
ZKN_HEIGHT_855_001=0,2 m
ZKN_HEIGHT_858_999=>26,0 m
ZKN_HEIGHT_861_999=>32,0 m
ZKN_HEIGHT_869_001=0,3 m
ZKN_HEIGHT_869_002=0,3 m
ZKN_HEIGHT_869_003=0,3 m
ZKN_HEIGHT_869_004=0,3 m
ZKN_HEIGHT_869_005=0,3 m
ZKN_HEIGHT_869_006=0,3 m
ZKN_HEIGHT_869_007=0,3 m
ZKN_HEIGHT_869_008=0,3 m
ZKN_HEIGHT_869_999=>30,0 m
ZKN_HEIGHT_875_001=1,4 m
ZKN_HEIGHT_876_001=0,9 m
ZKN_HEIGHT_877_001=0,3 m
ZKN_HEIGHT_879_999=>23,0 m
ZKN_HEIGHT_884_999=>43,0 m
ZKN_HEIGHT_888_001=2,8 m
ZKN_HEIGHT_889_001=2,9 m
ZKN_HEIGHT_890_001=100,0 m
ZKN_HEIGHT_890_999=100,0 m
