ATKMSG_M_000=!
ATKMSG_Y_000=!
ATKMSG_E_000=!
ATKMSG_N_000=!
ATKMSG_M_001={0x0101,0x0000} setzt[0x000A]Pfund ein!
ATKMSG_M_182={0x0101,0x0000} setzt[0x000A]Schutzschild ein!
ATKMSG_Y_182={0x0101,0x0000} (wild) setzt[0x000A]Schutzschild ein!
ATKMSG_E_182={0x0101,0x0000} (Gegner) setzt[0x000A]Schutzschild ein!
ATKMSG_N_182={0x0101,0x0000} (Herrscher) setzt[0x000A]Schutzschild ein!
ATKMSG_M_183={0x0101,0x0000} setzt[0x000A]Tempohieb ein!
ATKMSG_Y_183={0x0101,0x0000} (wild) setzt[0x000A]Tempohieb ein!
ATKMSG_E_183={0x0101,0x0000} (Gegner) setzt[0x000A]Tempohieb ein!
ATKMSG_N_183={0x0101,0x0000} (Herrscher) setzt[0x000A]Tempohieb ein!
ATKMSG_M_184={0x0101,0x0000} setzt[0x000A]Grimasse ein!
ATKMSG_Y_184={0x0101,0x0000} (wild) setzt[0x000A]Grimasse ein!
ATKMSG_E_184={0x0101,0x0000} (Gegner) setzt[0x000A]Grimasse ein!
ATKMSG_N_184={0x0101,0x0000} (Herrscher) setzt[0x000A]Grimasse ein!
ATKMSG_M_185={0x0101,0x0000} setzt[0x000A]Finte ein!
ATKMSG_Y_185={0x0101,0x0000} (wild) setzt[0x000A]Finte ein!
ATKMSG_E_185={0x0101,0x0000} (Gegner) setzt[0x000A]Finte ein!
ATKMSG_N_185={0x0101,0x0000} (Herrscher) setzt[0x000A]Finte ein!
ATKMSG_M_186={0x0101,0x0000} setzt[0x000A]Bitterkuss ein!
ATKMSG_Y_186={0x0101,0x0000} (wild) setzt[0x000A]Bitterkuss ein!
ATKMSG_E_186={0x0101,0x0000} (Gegner) setzt[0x000A]Bitterkuss ein!
ATKMSG_N_186={0x0101,0x0000} (Herrscher) setzt[0x000A]Bitterkuss ein!
ATKMSG_M_187={0x0101,0x0000} setzt[0x000A]Bauchtrommel ein!
ATKMSG_Y_187={0x0101,0x0000} (wild) setzt[0x000A]Bauchtrommel ein!
ATKMSG_E_187={0x0101,0x0000} (Gegner) setzt[0x000A]Bauchtrommel ein!
ATKMSG_N_187={0x0101,0x0000} (Herrscher) setzt[0x000A]Bauchtrommel ein!
ATKMSG_M_188={0x0101,0x0000} setzt[0x000A]Matschbombe ein!
ATKMSG_Y_188={0x0101,0x0000} (wild) setzt[0x000A]Matschbombe ein!
ATKMSG_E_188={0x0101,0x0000} (Gegner) setzt[0x000A]Matschbombe ein!
ATKMSG_N_188={0x0101,0x0000} (Herrscher) setzt[0x000A]Matschbombe ein!
ATKMSG_M_189={0x0101,0x0000} setzt[0x000A]Lehmschelle ein!
ATKMSG_Y_189={0x0101,0x0000} (wild) setzt[0x000A]Lehmschelle ein!
ATKMSG_E_189={0x0101,0x0000} (Gegner) setzt[0x000A]Lehmschelle ein!
ATKMSG_N_189={0x0101,0x0000} (Herrscher) setzt[0x000A]Lehmschelle ein!
ATKMSG_M_190={0x0101,0x0000} setzt[0x000A]Octazooka ein!
ATKMSG_Y_190={0x0101,0x0000} (wild) setzt[0x000A]Octazooka ein!
ATKMSG_E_190={0x0101,0x0000} (Gegner) setzt[0x000A]Octazooka ein!
ATKMSG_N_190={0x0101,0x0000} (Herrscher) setzt[0x000A]Octazooka ein!
ATKMSG_M_191={0x0101,0x0000} setzt[0x000A]Stachler ein!
ATKMSG_Y_191={0x0101,0x0000} (wild) setzt[0x000A]Stachler ein!
ATKMSG_E_191={0x0101,0x0000} (Gegner) setzt[0x000A]Stachler ein!
ATKMSG_N_191={0x0101,0x0000} (Herrscher) setzt[0x000A]Stachler ein!
ATKMSG_M_192={0x0101,0x0000} setzt[0x000A]Blitzkanone ein!
ATKMSG_Y_192={0x0101,0x0000} (wild) setzt[0x000A]Blitzkanone ein!
ATKMSG_E_192={0x0101,0x0000} (Gegner) setzt[0x000A]Blitzkanone ein!
ATKMSG_N_192={0x0101,0x0000} (Herrscher) setzt[0x000A]Blitzkanone ein!
ATKMSG_M_193={0x0101,0x0000} setzt[0x000A]Gesichte ein!
ATKMSG_Y_193={0x0101,0x0000} (wild) setzt[0x000A]Gesichte ein!
ATKMSG_E_193={0x0101,0x0000} (Gegner) setzt[0x000A]Gesichte ein!
ATKMSG_N_193={0x0101,0x0000} (Herrscher) setzt[0x000A]Gesichte ein!
ATKMSG_M_194={0x0101,0x0000} setzt[0x000A]Abgangsbund ein!
ATKMSG_Y_194={0x0101,0x0000} (wild) setzt[0x000A]Abgangsbund ein!
ATKMSG_E_194={0x0101,0x0000} (Gegner) setzt[0x000A]Abgangsbund ein!
ATKMSG_N_194={0x0101,0x0000} (Herrscher) setzt[0x000A]Abgangsbund ein!
ATKMSG_M_195={0x0101,0x0000} setzt[0x000A]Abgesang ein!
ATKMSG_Y_195={0x0101,0x0000} (wild) setzt[0x000A]Abgesang ein!
ATKMSG_E_195={0x0101,0x0000} (Gegner) setzt[0x000A]Abgesang ein!
ATKMSG_N_195={0x0101,0x0000} (Herrscher) setzt[0x000A]Abgesang ein!
ATKMSG_M_196={0x0101,0x0000} setzt[0x000A]Eissturm ein!
ATKMSG_Y_196={0x0101,0x0000} (wild) setzt[0x000A]Eissturm ein!
ATKMSG_E_196={0x0101,0x0000} (Gegner) setzt[0x000A]Eissturm ein!
ATKMSG_N_196={0x0101,0x0000} (Herrscher) setzt[0x000A]Eissturm ein!
ATKMSG_M_197={0x0101,0x0000} setzt[0x000A]Scanner ein!
ATKMSG_Y_197={0x0101,0x0000} (wild) setzt[0x000A]Scanner ein!
ATKMSG_E_197={0x0101,0x0000} (Gegner) setzt[0x000A]Scanner ein!
ATKMSG_N_197={0x0101,0x0000} (Herrscher) setzt[0x000A]Scanner ein!
ATKMSG_M_198={0x0101,0x0000} setzt[0x000A]Knochenhatz ein!
ATKMSG_Y_198={0x0101,0x0000} (wild) setzt[0x000A]Knochenhatz ein!
ATKMSG_E_198={0x0101,0x0000} (Gegner) setzt[0x000A]Knochenhatz ein!
ATKMSG_N_198={0x0101,0x0000} (Herrscher) setzt[0x000A]Knochenhatz ein!
ATKMSG_M_199={0x0101,0x0000} setzt[0x000A]Zielschuss ein!
ATKMSG_Y_199={0x0101,0x0000} (wild) setzt[0x000A]Zielschuss ein!
ATKMSG_E_199={0x0101,0x0000} (Gegner) setzt[0x000A]Zielschuss ein!
ATKMSG_N_199={0x0101,0x0000} (Herrscher) setzt[0x000A]Zielschuss ein!
ATKMSG_M_200={0x0101,0x0000} setzt[0x000A]Wutanfall ein!
ATKMSG_Y_200={0x0101,0x0000} (wild) setzt[0x000A]Wutanfall ein!
ATKMSG_E_200={0x0101,0x0000} (Gegner) setzt[0x000A]Wutanfall ein!
ATKMSG_N_200={0x0101,0x0000} (Herrscher) setzt[0x000A]Wutanfall ein!
ATKMSG_M_201={0x0101,0x0000} setzt[0x000A]Sandsturm ein!
ATKMSG_Y_201={0x0101,0x0000} (wild) setzt[0x000A]Sandsturm ein!
ATKMSG_E_201={0x0101,0x0000} (Gegner) setzt[0x000A]Sandsturm ein!
ATKMSG_N_201={0x0101,0x0000} (Herrscher) setzt[0x000A]Sandsturm ein!
ATKMSG_M_202={0x0101,0x0000} setzt[0x000A]Gigasauger ein!
ATKMSG_Y_202={0x0101,0x0000} (wild) setzt[0x000A]Gigasauger ein!
ATKMSG_E_202={0x0101,0x0000} (Gegner) setzt[0x000A]Gigasauger ein!
ATKMSG_N_202={0x0101,0x0000} (Herrscher) setzt[0x000A]Gigasauger ein!
ATKMSG_M_203={0x0101,0x0000} setzt[0x000A]Ausdauer ein!
ATKMSG_Y_203={0x0101,0x0000} (wild) setzt[0x000A]Ausdauer ein!
ATKMSG_E_203={0x0101,0x0000} (Gegner) setzt[0x000A]Ausdauer ein!
ATKMSG_N_203={0x0101,0x0000} (Herrscher) setzt[0x000A]Ausdauer ein!
ATKMSG_M_204={0x0101,0x0000} setzt[0x000A]Charme ein!
ATKMSG_Y_204={0x0101,0x0000} (wild) setzt[0x000A]Charme ein!
ATKMSG_E_204={0x0101,0x0000} (Gegner) setzt[0x000A]Charme ein!
ATKMSG_N_204={0x0101,0x0000} (Herrscher) setzt[0x000A]Charme ein!
ATKMSG_M_205={0x0101,0x0000} setzt[0x000A]Walzer ein!
ATKMSG_Y_205={0x0101,0x0000} (wild) setzt[0x000A]Walzer ein!
ATKMSG_E_205={0x0101,0x0000} (Gegner) setzt[0x000A]Walzer ein!
ATKMSG_N_205={0x0101,0x0000} (Herrscher) setzt[0x000A]Walzer ein!
ATKMSG_M_206={0x0101,0x0000} setzt[0x000A]Trugschlag ein!
ATKMSG_Y_206={0x0101,0x0000} (wild) setzt[0x000A]Trugschlag ein!
ATKMSG_E_206={0x0101,0x0000} (Gegner) setzt[0x000A]Trugschlag ein!
ATKMSG_N_206={0x0101,0x0000} (Herrscher) setzt[0x000A]Trugschlag ein!
ATKMSG_M_207={0x0101,0x0000} setzt[0x000A]Angeberei ein!
ATKMSG_Y_207={0x0101,0x0000} (wild) setzt[0x000A]Angeberei ein!
ATKMSG_E_207={0x0101,0x0000} (Gegner) setzt[0x000A]Angeberei ein!
ATKMSG_N_207={0x0101,0x0000} (Herrscher) setzt[0x000A]Angeberei ein!
ATKMSG_M_208={0x0101,0x0000} setzt[0x000A]Milchgetränk ein!
ATKMSG_Y_208={0x0101,0x0000} (wild) setzt[0x000A]Milchgetränk ein!
ATKMSG_E_208={0x0101,0x0000} (Gegner) setzt[0x000A]Milchgetränk ein!
ATKMSG_N_208={0x0101,0x0000} (Herrscher) setzt[0x000A]Milchgetränk ein!
ATKMSG_M_209={0x0101,0x0000} setzt[0x000A]Funkensprung ein!
ATKMSG_Y_209={0x0101,0x0000} (wild) setzt[0x000A]Funkensprung ein!
ATKMSG_E_209={0x0101,0x0000} (Gegner) setzt[0x000A]Funkensprung ein!
ATKMSG_N_209={0x0101,0x0000} (Herrscher) setzt[0x000A]Funkensprung ein!
ATKMSG_M_210={0x0101,0x0000} setzt[0x000A]Zornklinge ein!
ATKMSG_Y_210={0x0101,0x0000} (wild) setzt[0x000A]Zornklinge ein!
ATKMSG_E_210={0x0101,0x0000} (Gegner) setzt[0x000A]Zornklinge ein!
ATKMSG_N_210={0x0101,0x0000} (Herrscher) setzt[0x000A]Zornklinge ein!
ATKMSG_M_211={0x0101,0x0000} setzt[0x000A]Stahlflügel ein!
ATKMSG_Y_211={0x0101,0x0000} (wild) setzt[0x000A]Stahlflügel ein!
ATKMSG_E_211={0x0101,0x0000} (Gegner) setzt[0x000A]Stahlflügel ein!
ATKMSG_N_211={0x0101,0x0000} (Herrscher) setzt[0x000A]Stahlflügel ein!
ATKMSG_M_212={0x0101,0x0000} setzt[0x000A]Horrorblick ein!
ATKMSG_Y_212={0x0101,0x0000} (wild) setzt[0x000A]Horrorblick ein!
ATKMSG_E_212={0x0101,0x0000} (Gegner) setzt[0x000A]Horrorblick ein!
ATKMSG_N_212={0x0101,0x0000} (Herrscher) setzt[0x000A]Horrorblick ein!
ATKMSG_M_213={0x0101,0x0000} setzt[0x000A]Anziehung ein!
ATKMSG_Y_213={0x0101,0x0000} (wild) setzt[0x000A]Anziehung ein!
ATKMSG_E_213={0x0101,0x0000} (Gegner) setzt[0x000A]Anziehung ein!
ATKMSG_N_213={0x0101,0x0000} (Herrscher) setzt[0x000A]Anziehung ein!
ATKMSG_M_214={0x0101,0x0000} setzt[0x000A]Schlafrede ein!
ATKMSG_Y_214={0x0101,0x0000} (wild) setzt[0x000A]Schlafrede ein!
ATKMSG_E_214={0x0101,0x0000} (Gegner) setzt[0x000A]Schlafrede ein!
ATKMSG_N_214={0x0101,0x0000} (Herrscher) setzt[0x000A]Schlafrede ein!
ATKMSG_M_215={0x0101,0x0000} setzt[0x000A]Vitalglocke ein!
ATKMSG_Y_215={0x0101,0x0000} (wild) setzt[0x000A]Vitalglocke ein!
ATKMSG_E_215={0x0101,0x0000} (Gegner) setzt[0x000A]Vitalglocke ein!
ATKMSG_N_215={0x0101,0x0000} (Herrscher) setzt[0x000A]Vitalglocke ein!
ATKMSG_M_216={0x0101,0x0000} setzt[0x000A]Rückkehr ein!
ATKMSG_Y_216={0x0101,0x0000} (wild) setzt[0x000A]Rückkehr ein!
ATKMSG_E_216={0x0101,0x0000} (Gegner) setzt[0x000A]Rückkehr ein!
ATKMSG_N_216={0x0101,0x0000} (Herrscher) setzt[0x000A]Rückkehr ein!
ATKMSG_M_217={0x0101,0x0000} setzt[0x000A]Geschenk ein!
ATKMSG_Y_217={0x0101,0x0000} (wild) setzt[0x000A]Geschenk ein!
ATKMSG_E_217={0x0101,0x0000} (Gegner) setzt[0x000A]Geschenk ein!
ATKMSG_N_217={0x0101,0x0000} (Herrscher) setzt[0x000A]Geschenk ein!
ATKMSG_M_218={0x0101,0x0000} setzt[0x000A]Frustration ein!
ATKMSG_Y_218={0x0101,0x0000} (wild) setzt[0x000A]Frustration ein!
ATKMSG_E_218={0x0101,0x0000} (Gegner) setzt[0x000A]Frustration ein!
ATKMSG_N_218={0x0101,0x0000} (Herrscher) setzt[0x000A]Frustration ein!
ATKMSG_M_219={0x0101,0x0000} setzt[0x000A]Bodyguard ein!
ATKMSG_Y_219={0x0101,0x0000} (wild) setzt[0x000A]Bodyguard ein!
ATKMSG_E_219={0x0101,0x0000} (Gegner) setzt[0x000A]Bodyguard ein!
ATKMSG_N_219={0x0101,0x0000} (Herrscher) setzt[0x000A]Bodyguard ein!
ATKMSG_M_220={0x0101,0x0000} setzt[0x000A]Leidteiler ein!
ATKMSG_Y_220={0x0101,0x0000} (wild) setzt[0x000A]Leidteiler ein!
ATKMSG_E_220={0x0101,0x0000} (Gegner) setzt[0x000A]Leidteiler ein!
ATKMSG_N_220={0x0101,0x0000} (Herrscher) setzt[0x000A]Leidteiler ein!
ATKMSG_M_221={0x0101,0x0000} setzt[0x000A]Läuterfeuer ein!
ATKMSG_Y_221={0x0101,0x0000} (wild) setzt[0x000A]Läuterfeuer ein!
ATKMSG_E_221={0x0101,0x0000} (Gegner) setzt[0x000A]Läuterfeuer ein!
ATKMSG_N_221={0x0101,0x0000} (Herrscher) setzt[0x000A]Läuterfeuer ein!
ATKMSG_M_222={0x0101,0x0000} setzt[0x000A]Intensität ein!
ATKMSG_Y_222={0x0101,0x0000} (wild) setzt[0x000A]Intensität ein!
ATKMSG_E_222={0x0101,0x0000} (Gegner) setzt[0x000A]Intensität ein!
ATKMSG_N_222={0x0101,0x0000} (Herrscher) setzt[0x000A]Intensität ein!
ATKMSG_M_223={0x0101,0x0000} setzt[0x000A]Wuchtschlag ein!
ATKMSG_Y_223={0x0101,0x0000} (wild) setzt[0x000A]Wuchtschlag ein!
ATKMSG_E_223={0x0101,0x0000} (Gegner) setzt[0x000A]Wuchtschlag ein!
ATKMSG_N_223={0x0101,0x0000} (Herrscher) setzt[0x000A]Wuchtschlag ein!
ATKMSG_M_224={0x0101,0x0000} setzt[0x000A]Vielender ein!
ATKMSG_Y_224={0x0101,0x0000} (wild) setzt[0x000A]Vielender ein!
ATKMSG_E_224={0x0101,0x0000} (Gegner) setzt[0x000A]Vielender ein!
ATKMSG_N_224={0x0101,0x0000} (Herrscher) setzt[0x000A]Vielender ein!
ATKMSG_M_225={0x0101,0x0000} setzt[0x000A]Feuerodem ein!
ATKMSG_Y_225={0x0101,0x0000} (wild) setzt[0x000A]Feuerodem ein!
ATKMSG_E_225={0x0101,0x0000} (Gegner) setzt[0x000A]Feuerodem ein!
ATKMSG_N_225={0x0101,0x0000} (Herrscher) setzt[0x000A]Feuerodem ein!
ATKMSG_M_226={0x0101,0x0000} setzt[0x000A]Stafette ein!
ATKMSG_Y_226={0x0101,0x0000} (wild) setzt[0x000A]Stafette ein!
ATKMSG_E_226={0x0101,0x0000} (Gegner) setzt[0x000A]Stafette ein!
ATKMSG_N_226={0x0101,0x0000} (Herrscher) setzt[0x000A]Stafette ein!
ATKMSG_M_227={0x0101,0x0000} setzt[0x000A]Zugabe ein!
ATKMSG_Y_227={0x0101,0x0000} (wild) setzt[0x000A]Zugabe ein!
ATKMSG_E_227={0x0101,0x0000} (Gegner) setzt[0x000A]Zugabe ein!
ATKMSG_N_227={0x0101,0x0000} (Herrscher) setzt[0x000A]Zugabe ein!
ATKMSG_M_228={0x0101,0x0000} setzt[0x000A]Verfolgung ein!
ATKMSG_Y_228={0x0101,0x0000} (wild) setzt[0x000A]Verfolgung ein!
ATKMSG_E_228={0x0101,0x0000} (Gegner) setzt[0x000A]Verfolgung ein!
ATKMSG_N_228={0x0101,0x0000} (Herrscher) setzt[0x000A]Verfolgung ein!
ATKMSG_M_229={0x0101,0x0000} setzt[0x000A]Turbodreher ein!
ATKMSG_Y_229={0x0101,0x0000} (wild) setzt[0x000A]Turbodreher ein!
ATKMSG_E_229={0x0101,0x0000} (Gegner) setzt[0x000A]Turbodreher ein!
ATKMSG_N_229={0x0101,0x0000} (Herrscher) setzt[0x000A]Turbodreher ein!
ATKMSG_M_230={0x0101,0x0000} setzt[0x000A]Lockduft ein!
ATKMSG_Y_230={0x0101,0x0000} (wild) setzt[0x000A]Lockduft ein!
ATKMSG_E_230={0x0101,0x0000} (Gegner) setzt[0x000A]Lockduft ein!
ATKMSG_N_230={0x0101,0x0000} (Herrscher) setzt[0x000A]Lockduft ein!
ATKMSG_M_231={0x0101,0x0000} setzt[0x000A]Eisenschweif ein!
ATKMSG_Y_231={0x0101,0x0000} (wild) setzt[0x000A]Eisenschweif ein!
ATKMSG_E_231={0x0101,0x0000} (Gegner) setzt[0x000A]Eisenschweif ein!
ATKMSG_N_231={0x0101,0x0000} (Herrscher) setzt[0x000A]Eisenschweif ein!
ATKMSG_M_232={0x0101,0x0000} setzt[0x000A]Metallklaue ein!
ATKMSG_Y_232={0x0101,0x0000} (wild) setzt[0x000A]Metallklaue ein!
ATKMSG_E_232={0x0101,0x0000} (Gegner) setzt[0x000A]Metallklaue ein!
ATKMSG_N_232={0x0101,0x0000} (Herrscher) setzt[0x000A]Metallklaue ein!
ATKMSG_M_233={0x0101,0x0000} setzt[0x000A]Überwurf ein!
ATKMSG_Y_233={0x0101,0x0000} (wild) setzt[0x000A]Überwurf ein!
ATKMSG_E_233={0x0101,0x0000} (Gegner) setzt[0x000A]Überwurf ein!
ATKMSG_N_233={0x0101,0x0000} (Herrscher) setzt[0x000A]Überwurf ein!
ATKMSG_M_234={0x0101,0x0000} setzt[0x000A]Morgengrauen ein!
ATKMSG_Y_234={0x0101,0x0000} (wild) setzt[0x000A]Morgengrauen ein!
ATKMSG_E_234={0x0101,0x0000} (Gegner) setzt[0x000A]Morgengrauen ein!
ATKMSG_N_234={0x0101,0x0000} (Herrscher) setzt[0x000A]Morgengrauen ein!
ATKMSG_M_235={0x0101,0x0000} setzt[0x000A]Synthese ein!
ATKMSG_Y_235={0x0101,0x0000} (wild) setzt[0x000A]Synthese ein!
ATKMSG_E_235={0x0101,0x0000} (Gegner) setzt[0x000A]Synthese ein!
ATKMSG_N_235={0x0101,0x0000} (Herrscher) setzt[0x000A]Synthese ein!
ATKMSG_M_236={0x0101,0x0000} setzt[0x000A]Mondschein ein!
ATKMSG_Y_236={0x0101,0x0000} (wild) setzt[0x000A]Mondschein ein!
ATKMSG_E_236={0x0101,0x0000} (Gegner) setzt[0x000A]Mondschein ein!
ATKMSG_N_236={0x0101,0x0000} (Herrscher) setzt[0x000A]Mondschein ein!
ATKMSG_M_237={0x0101,0x0000} setzt[0x000A]Kraftreserve ein!
ATKMSG_Y_237={0x0101,0x0000} (wild) setzt[0x000A]Kraftreserve ein!
ATKMSG_E_237={0x0101,0x0000} (Gegner) setzt[0x000A]Kraftreserve ein!
ATKMSG_N_237={0x0101,0x0000} (Herrscher) setzt[0x000A]Kraftreserve ein!
ATKMSG_M_238={0x0101,0x0000} setzt[0x000A]Kreuzhieb ein!
ATKMSG_Y_238={0x0101,0x0000} (wild) setzt[0x000A]Kreuzhieb ein!
ATKMSG_E_238={0x0101,0x0000} (Gegner) setzt[0x000A]Kreuzhieb ein!
ATKMSG_N_238={0x0101,0x0000} (Herrscher) setzt[0x000A]Kreuzhieb ein!
ATKMSG_M_239={0x0101,0x0000} setzt[0x000A]Windhose ein!
ATKMSG_Y_239={0x0101,0x0000} (wild) setzt[0x000A]Windhose ein!
ATKMSG_E_239={0x0101,0x0000} (Gegner) setzt[0x000A]Windhose ein!
ATKMSG_N_239={0x0101,0x0000} (Herrscher) setzt[0x000A]Windhose ein!
ATKMSG_M_240={0x0101,0x0000} setzt[0x000A]Regentanz ein!
ATKMSG_Y_240={0x0101,0x0000} (wild) setzt[0x000A]Regentanz ein!
ATKMSG_E_240={0x0101,0x0000} (Gegner) setzt[0x000A]Regentanz ein!
ATKMSG_N_240={0x0101,0x0000} (Herrscher) setzt[0x000A]Regentanz ein!
ATKMSG_M_241={0x0101,0x0000} setzt[0x000A]Sonnentag ein!
ATKMSG_Y_241={0x0101,0x0000} (wild) setzt[0x000A]Sonnentag ein!
ATKMSG_E_241={0x0101,0x0000} (Gegner) setzt[0x000A]Sonnentag ein!
ATKMSG_N_241={0x0101,0x0000} (Herrscher) setzt[0x000A]Sonnentag ein!
ATKMSG_M_242={0x0101,0x0000} setzt[0x000A]Knirscher ein!
ATKMSG_Y_242={0x0101,0x0000} (wild) setzt[0x000A]Knirscher ein!
ATKMSG_E_242={0x0101,0x0000} (Gegner) setzt[0x000A]Knirscher ein!
ATKMSG_N_242={0x0101,0x0000} (Herrscher) setzt[0x000A]Knirscher ein!
ATKMSG_M_243={0x0101,0x0000} setzt[0x000A]Spiegelcape ein!
ATKMSG_Y_243={0x0101,0x0000} (wild) setzt[0x000A]Spiegelcape ein!
ATKMSG_E_243={0x0101,0x0000} (Gegner) setzt[0x000A]Spiegelcape ein!
ATKMSG_N_243={0x0101,0x0000} (Herrscher) setzt[0x000A]Spiegelcape ein!
ATKMSG_M_244={0x0101,0x0000} setzt[0x000A]Psycho-Plus ein!
ATKMSG_Y_244={0x0101,0x0000} (wild) setzt[0x000A]Psycho-Plus ein!
ATKMSG_E_244={0x0101,0x0000} (Gegner) setzt[0x000A]Psycho-Plus ein!
ATKMSG_N_244={0x0101,0x0000} (Herrscher) setzt[0x000A]Psycho-Plus ein!
ATKMSG_M_245={0x0101,0x0000} setzt[0x000A]Turbotempo ein!
ATKMSG_Y_245={0x0101,0x0000} (wild) setzt[0x000A]Turbotempo ein!
ATKMSG_E_245={0x0101,0x0000} (Gegner) setzt[0x000A]Turbotempo ein!
ATKMSG_N_245={0x0101,0x0000} (Herrscher) setzt[0x000A]Turbotempo ein!
ATKMSG_M_246={0x0101,0x0000} setzt[0x000A]Antik-Kraft ein!
ATKMSG_Y_246={0x0101,0x0000} (wild) setzt[0x000A]Antik-Kraft ein!
ATKMSG_E_246={0x0101,0x0000} (Gegner) setzt[0x000A]Antik-Kraft ein!
ATKMSG_N_246={0x0101,0x0000} (Herrscher) setzt[0x000A]Antik-Kraft ein!
ATKMSG_M_247={0x0101,0x0000} setzt[0x000A]Spukball ein!
ATKMSG_Y_247={0x0101,0x0000} (wild) setzt[0x000A]Spukball ein!
ATKMSG_E_247={0x0101,0x0000} (Gegner) setzt[0x000A]Spukball ein!
ATKMSG_N_247={0x0101,0x0000} (Herrscher) setzt[0x000A]Spukball ein!
ATKMSG_M_248={0x0101,0x0000} setzt[0x000A]Seher ein!
ATKMSG_Y_248={0x0101,0x0000} (wild) setzt[0x000A]Seher ein!
ATKMSG_E_248={0x0101,0x0000} (Gegner) setzt[0x000A]Seher ein!
ATKMSG_N_248={0x0101,0x0000} (Herrscher) setzt[0x000A]Seher ein!
ATKMSG_M_249={0x0101,0x0000} setzt[0x000A]Zertrümmerer ein!
ATKMSG_Y_249={0x0101,0x0000} (wild) setzt[0x000A]Zertrümmerer ein!
ATKMSG_E_249={0x0101,0x0000} (Gegner) setzt[0x000A]Zertrümmerer ein!
ATKMSG_N_249={0x0101,0x0000} (Herrscher) setzt[0x000A]Zertrümmerer ein!
ATKMSG_M_250={0x0101,0x0000} setzt[0x000A]Whirlpool ein!
ATKMSG_Y_250={0x0101,0x0000} (wild) setzt[0x000A]Whirlpool ein!
ATKMSG_E_250={0x0101,0x0000} (Gegner) setzt[0x000A]Whirlpool ein!
ATKMSG_N_250={0x0101,0x0000} (Herrscher) setzt[0x000A]Whirlpool ein!
ATKMSG_M_251={0x0101,0x0000} setzt[0x000A]Prügler ein!
ATKMSG_Y_251={0x0101,0x0000} (wild) setzt[0x000A]Prügler ein!
ATKMSG_E_251={0x0101,0x0000} (Gegner) setzt[0x000A]Prügler ein!
ATKMSG_N_251={0x0101,0x0000} (Herrscher) setzt[0x000A]Prügler ein!
ATKMSG_M_252={0x0101,0x0000} setzt[0x000A]Mogelhieb ein!
ATKMSG_Y_252={0x0101,0x0000} (wild) setzt[0x000A]Mogelhieb ein!
ATKMSG_E_252={0x0101,0x0000} (Gegner) setzt[0x000A]Mogelhieb ein!
ATKMSG_N_252={0x0101,0x0000} (Herrscher) setzt[0x000A]Mogelhieb ein!
ATKMSG_M_253={0x0101,0x0000} setzt[0x000A]Aufruhr ein!
ATKMSG_Y_253={0x0101,0x0000} (wild) setzt[0x000A]Aufruhr ein!
ATKMSG_E_253={0x0101,0x0000} (Gegner) setzt[0x000A]Aufruhr ein!
ATKMSG_N_253={0x0101,0x0000} (Herrscher) setzt[0x000A]Aufruhr ein!
ATKMSG_M_254={0x0101,0x0000} setzt[0x000A]Horter ein!
ATKMSG_Y_254={0x0101,0x0000} (wild) setzt[0x000A]Horter ein!
ATKMSG_E_254={0x0101,0x0000} (Gegner) setzt[0x000A]Horter ein!
ATKMSG_N_254={0x0101,0x0000} (Herrscher) setzt[0x000A]Horter ein!
ATKMSG_M_255={0x0101,0x0000} setzt[0x000A]Entfessler ein!
ATKMSG_Y_255={0x0101,0x0000} (wild) setzt[0x000A]Entfessler ein!
ATKMSG_E_255={0x0101,0x0000} (Gegner) setzt[0x000A]Entfessler ein!
ATKMSG_N_255={0x0101,0x0000} (Herrscher) setzt[0x000A]Entfessler ein!
ATKMSG_M_256={0x0101,0x0000} setzt[0x000A]Verzehrer ein!
ATKMSG_Y_256={0x0101,0x0000} (wild) setzt[0x000A]Verzehrer ein!
ATKMSG_E_256={0x0101,0x0000} (Gegner) setzt[0x000A]Verzehrer ein!
ATKMSG_N_256={0x0101,0x0000} (Herrscher) setzt[0x000A]Verzehrer ein!
ATKMSG_M_257={0x0101,0x0000} setzt[0x000A]Hitzewelle ein!
ATKMSG_Y_257={0x0101,0x0000} (wild) setzt[0x000A]Hitzewelle ein!
ATKMSG_E_257={0x0101,0x0000} (Gegner) setzt[0x000A]Hitzewelle ein!
ATKMSG_N_257={0x0101,0x0000} (Herrscher) setzt[0x000A]Hitzewelle ein!
ATKMSG_M_258={0x0101,0x0000} setzt[0x000A]Hagelsturm ein!
ATKMSG_Y_258={0x0101,0x0000} (wild) setzt[0x000A]Hagelsturm ein!
ATKMSG_E_258={0x0101,0x0000} (Gegner) setzt[0x000A]Hagelsturm ein!
ATKMSG_N_258={0x0101,0x0000} (Herrscher) setzt[0x000A]Hagelsturm ein!
ATKMSG_M_259={0x0101,0x0000} setzt[0x000A]Folterknecht ein!
ATKMSG_Y_259={0x0101,0x0000} (wild) setzt[0x000A]Folterknecht ein!
ATKMSG_E_259={0x0101,0x0000} (Gegner) setzt[0x000A]Folterknecht ein!
ATKMSG_N_259={0x0101,0x0000} (Herrscher) setzt[0x000A]Folterknecht ein!
ATKMSG_M_260={0x0101,0x0000} setzt[0x000A]Schmeichler ein!
ATKMSG_Y_260={0x0101,0x0000} (wild) setzt[0x000A]Schmeichler ein!
