ATKMSG_Z_M_000=!
ATKMSG_Z_Y_000=!
ATKMSG_Z_E_000=!
ATKMSG_Z_N_000=!
ATKMSG_Z_M_001={0x0101,0x0000} setzt[0x000A]Z-Pfund ein!
ATKMSG_Z_Y_189={0x0101,0x0000} (wild) setzt[0x000A]Z-Lehmschelle ein!
ATKMSG_Z_E_189={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lehmschelle ein!
ATKMSG_Z_N_189={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lehmschelle ein!
ATKMSG_Z_M_190={0x0101,0x0000} setzt[0x000A]Z-Octazooka ein!
ATKMSG_Z_Y_190={0x0101,0x0000} (wild) setzt[0x000A]Z-Octazooka ein!
ATKMSG_Z_E_190={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Octazooka ein!
ATKMSG_Z_N_190={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Octazooka ein!
ATKMSG_Z_M_191={0x0101,0x0000} setzt[0x000A]Z-Stachler ein!
ATKMSG_Z_Y_191={0x0101,0x0000} (wild) setzt[0x000A]Z-Stachler ein!
ATKMSG_Z_E_191={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Stachler ein!
ATKMSG_Z_N_191={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Stachler ein!
ATKMSG_Z_M_192={0x0101,0x0000} setzt[0x000A]Z-Blitzkanone ein!
ATKMSG_Z_Y_192={0x0101,0x0000} (wild) setzt[0x000A]Z-Blitzkanone ein!
ATKMSG_Z_E_192={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Blitzkanone ein!
ATKMSG_Z_N_192={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Blitzkanone ein!
ATKMSG_Z_M_193={0x0101,0x0000} setzt[0x000A]Z-Gesichte ein!
ATKMSG_Z_Y_193={0x0101,0x0000} (wild) setzt[0x000A]Z-Gesichte ein!
ATKMSG_Z_E_193={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Gesichte ein!
ATKMSG_Z_N_193={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Gesichte ein!
ATKMSG_Z_M_194={0x0101,0x0000} setzt[0x000A]Z-Abgangsbund ein!
ATKMSG_Z_Y_194={0x0101,0x0000} (wild) setzt[0x000A]Z-Abgangsbund ein!
ATKMSG_Z_E_194={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Abgangsbund ein!
ATKMSG_Z_N_194={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Abgangsbund ein!
ATKMSG_Z_M_195={0x0101,0x0000} setzt[0x000A]Z-Abgesang ein!
ATKMSG_Z_Y_195={0x0101,0x0000} (wild) setzt[0x000A]Z-Abgesang ein!
ATKMSG_Z_E_195={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Abgesang ein!
ATKMSG_Z_N_195={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Abgesang ein!
ATKMSG_Z_M_196={0x0101,0x0000} setzt[0x000A]Z-Eissturm ein!
ATKMSG_Z_Y_196={0x0101,0x0000} (wild) setzt[0x000A]Z-Eissturm ein!
ATKMSG_Z_E_196={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eissturm ein!
ATKMSG_Z_N_196={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eissturm ein!
ATKMSG_Z_M_197={0x0101,0x0000} setzt[0x000A]Z-Scanner ein!
ATKMSG_Z_Y_197={0x0101,0x0000} (wild) setzt[0x000A]Z-Scanner ein!
ATKMSG_Z_E_197={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Scanner ein!
ATKMSG_Z_N_197={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Scanner ein!
ATKMSG_Z_M_198={0x0101,0x0000} setzt[0x000A]Z-Knochenhatz ein!
ATKMSG_Z_Y_198={0x0101,0x0000} (wild) setzt[0x000A]Z-Knochenhatz ein!
ATKMSG_Z_E_198={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Knochenhatz ein!
ATKMSG_Z_N_198={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Knochenhatz ein!
ATKMSG_Z_M_199={0x0101,0x0000} setzt[0x000A]Z-Zielschuss ein!
ATKMSG_Z_Y_199={0x0101,0x0000} (wild) setzt[0x000A]Z-Zielschuss ein!
ATKMSG_Z_E_199={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zielschuss ein!
ATKMSG_Z_N_199={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zielschuss ein!
ATKMSG_Z_M_200={0x0101,0x0000} setzt[0x000A]Z-Wutanfall ein!
ATKMSG_Z_Y_200={0x0101,0x0000} (wild) setzt[0x000A]Z-Wutanfall ein!
ATKMSG_Z_E_200={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wutanfall ein!
ATKMSG_Z_N_200={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wutanfall ein!
ATKMSG_Z_M_201={0x0101,0x0000} setzt[0x000A]Z-Sandsturm ein!
ATKMSG_Z_Y_201={0x0101,0x0000} (wild) setzt[0x000A]Z-Sandsturm ein!
ATKMSG_Z_E_201={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sandsturm ein!
ATKMSG_Z_N_201={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sandsturm ein!
ATKMSG_Z_M_202={0x0101,0x0000} setzt[0x000A]Z-Gigasauger ein!
ATKMSG_Z_Y_202={0x0101,0x0000} (wild) setzt[0x000A]Z-Gigasauger ein!
ATKMSG_Z_E_202={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Gigasauger ein!
ATKMSG_Z_N_202={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Gigasauger ein!
ATKMSG_Z_M_203={0x0101,0x0000} setzt[0x000A]Z-Ausdauer ein!
ATKMSG_Z_Y_203={0x0101,0x0000} (wild) setzt[0x000A]Z-Ausdauer ein!
ATKMSG_Z_E_203={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Ausdauer ein!
ATKMSG_Z_N_203={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Ausdauer ein!
ATKMSG_Z_M_204={0x0101,0x0000} setzt[0x000A]Z-Charme ein!
ATKMSG_Z_Y_204={0x0101,0x0000} (wild) setzt[0x000A]Z-Charme ein!
ATKMSG_Z_E_204={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Charme ein!
ATKMSG_Z_N_204={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Charme ein!
ATKMSG_Z_M_205={0x0101,0x0000} setzt[0x000A]Z-Walzer ein!
ATKMSG_Z_Y_205={0x0101,0x0000} (wild) setzt[0x000A]Z-Walzer ein!
ATKMSG_Z_E_205={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Walzer ein!
ATKMSG_Z_N_205={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Walzer ein!
ATKMSG_Z_M_206={0x0101,0x0000} setzt[0x000A]Z-Trugschlag ein!
ATKMSG_Z_Y_206={0x0101,0x0000} (wild) setzt[0x000A]Z-Trugschlag ein!
ATKMSG_Z_E_206={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Trugschlag ein!
ATKMSG_Z_N_206={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Trugschlag ein!
ATKMSG_Z_M_207={0x0101,0x0000} setzt[0x000A]Z-Angeberei ein!
ATKMSG_Z_Y_207={0x0101,0x0000} (wild) setzt[0x000A]Z-Angeberei ein!
ATKMSG_Z_E_207={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Angeberei ein!
ATKMSG_Z_N_207={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Angeberei ein!
ATKMSG_Z_M_208={0x0101,0x0000} setzt[0x000A]Z-Milchgetränk ein!
ATKMSG_Z_Y_208={0x0101,0x0000} (wild) setzt[0x000A]Z-Milchgetränk ein!
ATKMSG_Z_E_208={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Milchgetränk ein!
ATKMSG_Z_N_208={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Milchgetränk ein!
ATKMSG_Z_M_209={0x0101,0x0000} setzt[0x000A]Z-Funkensprung ein!
ATKMSG_Z_Y_209={0x0101,0x0000} (wild) setzt[0x000A]Z-Funkensprung ein!
ATKMSG_Z_E_209={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Funkensprung ein!
ATKMSG_Z_N_209={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Funkensprung ein!
ATKMSG_Z_M_210={0x0101,0x0000} setzt[0x000A]Z-Zornklinge ein!
ATKMSG_Z_Y_210={0x0101,0x0000} (wild) setzt[0x000A]Z-Zornklinge ein!
ATKMSG_Z_E_210={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zornklinge ein!
ATKMSG_Z_N_210={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zornklinge ein!
ATKMSG_Z_M_211={0x0101,0x0000} setzt[0x000A]Z-Stahlflügel ein!
ATKMSG_Z_Y_211={0x0101,0x0000} (wild) setzt[0x000A]Z-Stahlflügel ein!
ATKMSG_Z_E_211={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Stahlflügel ein!
ATKMSG_Z_N_211={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Stahlflügel ein!
ATKMSG_Z_M_212={0x0101,0x0000} setzt[0x000A]Z-Horrorblick ein!
ATKMSG_Z_Y_212={0x0101,0x0000} (wild) setzt[0x000A]Z-Horrorblick ein!
ATKMSG_Z_E_212={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Horrorblick ein!
ATKMSG_Z_N_212={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Horrorblick ein!
ATKMSG_Z_M_213={0x0101,0x0000} setzt[0x000A]Z-Anziehung ein!
ATKMSG_Z_Y_213={0x0101,0x0000} (wild) setzt[0x000A]Z-Anziehung ein!
ATKMSG_Z_E_213={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Anziehung ein!
ATKMSG_Z_N_213={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Anziehung ein!
ATKMSG_Z_M_214={0x0101,0x0000} setzt[0x000A]Z-Schlafrede ein!
ATKMSG_Z_Y_214={0x0101,0x0000} (wild) setzt[0x000A]Z-Schlafrede ein!
ATKMSG_Z_E_214={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Schlafrede ein!
ATKMSG_Z_N_214={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Schlafrede ein!
ATKMSG_Z_M_215={0x0101,0x0000} setzt[0x000A]Z-Vitalglocke ein!
ATKMSG_Z_Y_215={0x0101,0x0000} (wild) setzt[0x000A]Z-Vitalglocke ein!
ATKMSG_Z_E_215={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Vitalglocke ein!
ATKMSG_Z_N_215={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Vitalglocke ein!
ATKMSG_Z_M_216={0x0101,0x0000} setzt[0x000A]Z-Rückkehr ein!
ATKMSG_Z_Y_216={0x0101,0x0000} (wild) setzt[0x000A]Z-Rückkehr ein!
ATKMSG_Z_E_216={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Rückkehr ein!
ATKMSG_Z_N_216={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Rückkehr ein!
ATKMSG_Z_M_217={0x0101,0x0000} setzt[0x000A]Z-Geschenk ein!
ATKMSG_Z_Y_217={0x0101,0x0000} (wild) setzt[0x000A]Z-Geschenk ein!
ATKMSG_Z_E_217={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Geschenk ein!
ATKMSG_Z_N_217={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Geschenk ein!
ATKMSG_Z_M_218={0x0101,0x0000} setzt[0x000A]Z-Frustration ein!
ATKMSG_Z_Y_218={0x0101,0x0000} (wild) setzt[0x000A]Z-Frustration ein!
ATKMSG_Z_E_218={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Frustration ein!
ATKMSG_Z_N_218={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Frustration ein!
ATKMSG_Z_M_219={0x0101,0x0000} setzt[0x000A]Z-Bodyguard ein!
ATKMSG_Z_Y_219={0x0101,0x0000} (wild) setzt[0x000A]Z-Bodyguard ein!
ATKMSG_Z_E_219={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Bodyguard ein!
ATKMSG_Z_N_219={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Bodyguard ein!
ATKMSG_Z_M_220={0x0101,0x0000} setzt[0x000A]Z-Leidteiler ein!
ATKMSG_Z_Y_220={0x0101,0x0000} (wild) setzt[0x000A]Z-Leidteiler ein!
ATKMSG_Z_E_220={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Leidteiler ein!
ATKMSG_Z_N_220={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Leidteiler ein!
ATKMSG_Z_M_221={0x0101,0x0000} setzt[0x000A]Z-Läuterfeuer ein!
ATKMSG_Z_Y_221={0x0101,0x0000} (wild) setzt[0x000A]Z-Läuterfeuer ein!
ATKMSG_Z_E_221={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Läuterfeuer ein!
ATKMSG_Z_N_221={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Läuterfeuer ein!
ATKMSG_Z_M_222={0x0101,0x0000} setzt[0x000A]Z-Intensität ein!
ATKMSG_Z_Y_222={0x0101,0x0000} (wild) setzt[0x000A]Z-Intensität ein!
ATKMSG_Z_E_222={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Intensität ein!
ATKMSG_Z_N_222={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Intensität ein!
ATKMSG_Z_M_223={0x0101,0x0000} setzt[0x000A]Z-Wuchtschlag ein!
ATKMSG_Z_Y_223={0x0101,0x0000} (wild) setzt[0x000A]Z-Wuchtschlag ein!
ATKMSG_Z_E_223={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Wuchtschlag ein!
ATKMSG_Z_N_223={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Wuchtschlag ein!
ATKMSG_Z_M_224={0x0101,0x0000} setzt[0x000A]Z-Vielender ein!
ATKMSG_Z_Y_224={0x0101,0x0000} (wild) setzt[0x000A]Z-Vielender ein!
ATKMSG_Z_E_224={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Vielender ein!
ATKMSG_Z_N_224={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Vielender ein!
ATKMSG_Z_M_225={0x0101,0x0000} setzt[0x000A]Z-Feuerodem ein!
ATKMSG_Z_Y_225={0x0101,0x0000} (wild) setzt[0x000A]Z-Feuerodem ein!
ATKMSG_Z_E_225={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Feuerodem ein!
ATKMSG_Z_N_225={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Feuerodem ein!
ATKMSG_Z_M_226={0x0101,0x0000} setzt[0x000A]Z-Stafette ein!
ATKMSG_Z_Y_226={0x0101,0x0000} (wild) setzt[0x000A]Z-Stafette ein!
ATKMSG_Z_E_226={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Stafette ein!
ATKMSG_Z_N_226={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Stafette ein!
ATKMSG_Z_M_227={0x0101,0x0000} setzt[0x000A]Z-Zugabe ein!
ATKMSG_Z_Y_227={0x0101,0x0000} (wild) setzt[0x000A]Z-Zugabe ein!
ATKMSG_Z_E_227={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zugabe ein!
ATKMSG_Z_N_227={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zugabe ein!
ATKMSG_Z_M_228={0x0101,0x0000} setzt[0x000A]Z-Verfolgung ein!
ATKMSG_Z_Y_228={0x0101,0x0000} (wild) setzt[0x000A]Z-Verfolgung ein!
ATKMSG_Z_E_228={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Verfolgung ein!
ATKMSG_Z_N_228={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Verfolgung ein!
ATKMSG_Z_M_229={0x0101,0x0000} setzt[0x000A]Z-Turbodreher ein!
ATKMSG_Z_Y_229={0x0101,0x0000} (wild) setzt[0x000A]Z-Turbodreher ein!
ATKMSG_Z_E_229={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Turbodreher ein!
ATKMSG_Z_N_229={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Turbodreher ein!
ATKMSG_Z_M_230={0x0101,0x0000} setzt[0x000A]Z-Lockduft ein!
ATKMSG_Z_Y_230={0x0101,0x0000} (wild) setzt[0x000A]Z-Lockduft ein!
ATKMSG_Z_E_230={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Lockduft ein!
ATKMSG_Z_N_230={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Lockduft ein!
ATKMSG_Z_M_231={0x0101,0x0000} setzt[0x000A]Z-Eisenschweif ein!
ATKMSG_Z_Y_231={0x0101,0x0000} (wild) setzt[0x000A]Z-Eisenschweif ein!
ATKMSG_Z_E_231={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Eisenschweif ein!
ATKMSG_Z_N_231={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Eisenschweif ein!
ATKMSG_Z_M_232={0x0101,0x0000} setzt[0x000A]Z-Metallklaue ein!
ATKMSG_Z_Y_232={0x0101,0x0000} (wild) setzt[0x000A]Z-Metallklaue ein!
ATKMSG_Z_E_232={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Metallklaue ein!
ATKMSG_Z_N_232={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Metallklaue ein!
ATKMSG_Z_M_233={0x0101,0x0000} setzt[0x000A]Z-Überwurf ein!
ATKMSG_Z_Y_233={0x0101,0x0000} (wild) setzt[0x000A]Z-Überwurf ein!
ATKMSG_Z_E_233={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Überwurf ein!
ATKMSG_Z_N_233={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Überwurf ein!
ATKMSG_Z_M_234={0x0101,0x0000} setzt[0x000A]Z-Morgengrauen ein!
ATKMSG_Z_Y_234={0x0101,0x0000} (wild) setzt[0x000A]Z-Morgengrauen ein!
ATKMSG_Z_E_234={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Morgengrauen ein!
ATKMSG_Z_N_234={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Morgengrauen ein!
ATKMSG_Z_M_235={0x0101,0x0000} setzt[0x000A]Z-Synthese ein!
ATKMSG_Z_Y_235={0x0101,0x0000} (wild) setzt[0x000A]Z-Synthese ein!
ATKMSG_Z_E_235={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Synthese ein!
ATKMSG_Z_N_235={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Synthese ein!
ATKMSG_Z_M_236={0x0101,0x0000} setzt[0x000A]Z-Mondschein ein!
ATKMSG_Z_Y_236={0x0101,0x0000} (wild) setzt[0x000A]Z-Mondschein ein!
ATKMSG_Z_E_236={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Mondschein ein!
ATKMSG_Z_N_236={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Mondschein ein!
ATKMSG_Z_M_237={0x0101,0x0000} setzt[0x000A]Z-Kraftreserve ein!
ATKMSG_Z_Y_237={0x0101,0x0000} (wild) setzt[0x000A]Z-Kraftreserve ein!
ATKMSG_Z_E_237={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kraftreserve ein!
ATKMSG_Z_N_237={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kraftreserve ein!
ATKMSG_Z_M_238={0x0101,0x0000} setzt[0x000A]Z-Kreuzhieb ein!
ATKMSG_Z_Y_238={0x0101,0x0000} (wild) setzt[0x000A]Z-Kreuzhieb ein!
ATKMSG_Z_E_238={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Kreuzhieb ein!
ATKMSG_Z_N_238={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Kreuzhieb ein!
ATKMSG_Z_M_239={0x0101,0x0000} setzt[0x000A]Z-Windhose ein!
ATKMSG_Z_Y_239={0x0101,0x0000} (wild) setzt[0x000A]Z-Windhose ein!
ATKMSG_Z_E_239={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Windhose ein!
ATKMSG_Z_N_239={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Windhose ein!
ATKMSG_Z_M_240={0x0101,0x0000} setzt[0x000A]Z-Regentanz ein!
ATKMSG_Z_Y_240={0x0101,0x0000} (wild) setzt[0x000A]Z-Regentanz ein!
ATKMSG_Z_E_240={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Regentanz ein!
ATKMSG_Z_N_240={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Regentanz ein!
ATKMSG_Z_M_241={0x0101,0x0000} setzt[0x000A]Z-Sonnentag ein!
ATKMSG_Z_Y_241={0x0101,0x0000} (wild) setzt[0x000A]Z-Sonnentag ein!
ATKMSG_Z_E_241={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Sonnentag ein!
ATKMSG_Z_N_241={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Sonnentag ein!
ATKMSG_Z_M_242={0x0101,0x0000} setzt[0x000A]Z-Knirscher ein!
ATKMSG_Z_Y_242={0x0101,0x0000} (wild) setzt[0x000A]Z-Knirscher ein!
ATKMSG_Z_E_242={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Knirscher ein!
ATKMSG_Z_N_242={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Knirscher ein!
ATKMSG_Z_M_243={0x0101,0x0000} setzt[0x000A]Z-Spiegelcape ein!
ATKMSG_Z_Y_243={0x0101,0x0000} (wild) setzt[0x000A]Z-Spiegelcape ein!
ATKMSG_Z_E_243={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Spiegelcape ein!
ATKMSG_Z_N_243={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Spiegelcape ein!
ATKMSG_Z_M_244={0x0101,0x0000} setzt[0x000A]Z-Psycho-Plus ein!
ATKMSG_Z_Y_244={0x0101,0x0000} (wild) setzt[0x000A]Z-Psycho-Plus ein!
ATKMSG_Z_E_244={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Psycho-Plus ein!
ATKMSG_Z_N_244={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Psycho-Plus ein!
ATKMSG_Z_M_245={0x0101,0x0000} setzt[0x000A]Z-Turbotempo ein!
ATKMSG_Z_Y_245={0x0101,0x0000} (wild) setzt[0x000A]Z-Turbotempo ein!
ATKMSG_Z_E_245={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Turbotempo ein!
ATKMSG_Z_N_245={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Turbotempo ein!
ATKMSG_Z_M_246={0x0101,0x0000} setzt[0x000A]Z-Antik-Kraft ein!
ATKMSG_Z_Y_246={0x0101,0x0000} (wild) setzt[0x000A]Z-Antik-Kraft ein!
ATKMSG_Z_E_246={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Antik-Kraft ein!
ATKMSG_Z_N_246={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Antik-Kraft ein!
ATKMSG_Z_M_247={0x0101,0x0000} setzt[0x000A]Z-Spukball ein!
ATKMSG_Z_Y_247={0x0101,0x0000} (wild) setzt[0x000A]Z-Spukball ein!
ATKMSG_Z_E_247={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Spukball ein!
ATKMSG_Z_N_247={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Spukball ein!
ATKMSG_Z_M_248={0x0101,0x0000} setzt[0x000A]Z-Seher ein!
ATKMSG_Z_Y_248={0x0101,0x0000} (wild) setzt[0x000A]Z-Seher ein!
ATKMSG_Z_E_248={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Seher ein!
ATKMSG_Z_N_248={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Seher ein!
ATKMSG_Z_M_249={0x0101,0x0000} setzt[0x000A]Z-Zertrümmerer ein!
ATKMSG_Z_Y_249={0x0101,0x0000} (wild) setzt[0x000A]Z-Zertrümmerer ein!
ATKMSG_Z_E_249={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Zertrümmerer ein!
ATKMSG_Z_N_249={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Zertrümmerer ein!
ATKMSG_Z_M_250={0x0101,0x0000} setzt[0x000A]Z-Whirlpool ein!
ATKMSG_Z_Y_250={0x0101,0x0000} (wild) setzt[0x000A]Z-Whirlpool ein!
ATKMSG_Z_E_250={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Whirlpool ein!
ATKMSG_Z_N_250={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Whirlpool ein!
ATKMSG_Z_M_251={0x0101,0x0000} setzt[0x000A]Z-Prügler ein!
ATKMSG_Z_Y_251={0x0101,0x0000} (wild) setzt[0x000A]Z-Prügler ein!
ATKMSG_Z_E_251={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Prügler ein!
ATKMSG_Z_N_251={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Prügler ein!
ATKMSG_Z_M_252={0x0101,0x0000} setzt[0x000A]Z-Mogelhieb ein!
ATKMSG_Z_Y_252={0x0101,0x0000} (wild) setzt[0x000A]Z-Mogelhieb ein!
ATKMSG_Z_E_252={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Mogelhieb ein!
ATKMSG_Z_N_252={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Mogelhieb ein!
ATKMSG_Z_M_253={0x0101,0x0000} setzt[0x000A]Z-Aufruhr ein!
ATKMSG_Z_Y_253={0x0101,0x0000} (wild) setzt[0x000A]Z-Aufruhr ein!
ATKMSG_Z_E_253={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Aufruhr ein!
ATKMSG_Z_N_253={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Aufruhr ein!
ATKMSG_Z_M_254={0x0101,0x0000} setzt[0x000A]Z-Horter ein!
ATKMSG_Z_Y_254={0x0101,0x0000} (wild) setzt[0x000A]Z-Horter ein!
ATKMSG_Z_E_254={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Horter ein!
ATKMSG_Z_N_254={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Horter ein!
ATKMSG_Z_M_255={0x0101,0x0000} setzt[0x000A]Z-Entfessler ein!
ATKMSG_Z_Y_255={0x0101,0x0000} (wild) setzt[0x000A]Z-Entfessler ein!
ATKMSG_Z_E_255={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Entfessler ein!
ATKMSG_Z_N_255={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Entfessler ein!
ATKMSG_Z_M_256={0x0101,0x0000} setzt[0x000A]Z-Verzehrer ein!
ATKMSG_Z_Y_256={0x0101,0x0000} (wild) setzt[0x000A]Z-Verzehrer ein!
ATKMSG_Z_E_256={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Verzehrer ein!
ATKMSG_Z_N_256={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Verzehrer ein!
ATKMSG_Z_M_257={0x0101,0x0000} setzt[0x000A]Z-Hitzewelle ein!
ATKMSG_Z_Y_257={0x0101,0x0000} (wild) setzt[0x000A]Z-Hitzewelle ein!
ATKMSG_Z_E_257={0x0101,0x0000} (Gegner) setzt[0x000A]Z-Hitzewelle ein!
ATKMSG_Z_N_257={0x0101,0x0000} (Herrscher) setzt[0x000A]Z-Hitzewelle ein!
ATKMSG_Z_M_258={0x0101,0x0000} setzt[0x000A]Z-Hagelsturm ein!
